contig_name	length	gc
contig00001	2284	46.67
contig00002	2400	48.62
contig00003	11939	47.84
contig00004	2716	46.83
contig00005	9974	47.14
contig00006	2240	45.49
contig00007	2207	44.31
contig00008	4712	44.61
contig00009	5336	48.44
contig00010	1737	48.36
contig00011	2441	45.56
contig00012	2208	45.74
contig00013	2547	48.45
contig00014	4152	45.64
contig00015	2333	45.31
contig00016	2275	47.82
contig00017	5191	46.93
contig00018	2813	47.24
contig00019	2742	45.26
contig00020	2461	43.93
contig00021	2810	42.67
contig00022	2774	47.08
contig00023	2323	46.06
contig00024	3963	45.95
contig00025	3440	45.0
contig00026	2350	46.98
contig00027	4724	46.51
contig00028	2609	46.3
contig00029	3553	43.51
contig00030	3882	47.91
contig00031	2989	47.84
contig00032	2208	44.88
contig00033	5826	46.29
contig00034	3334	50.18
contig00035	4183	47.07
contig00036	4053	46.71
contig00037	2470	46.28
contig00038	2372	46.54
contig00039	2334	48.07
contig00040	3882	47.22
contig00041	3603	47.07
contig00042	2494	46.47
contig00043	2225	45.48
contig00044	6887	46.81
contig00045	2655	44.33
contig00046	2612	44.75
contig00047	2652	47.32
contig00048	2256	46.45
contig00049	2460	47.24
contig00050	5547	46.71
contig00051	6663	47.37
contig00052	2549	46.88
contig00053	2379	45.73
contig00054	2209	46.58
contig00055	6922	46.98
contig00056	5478	48.21
contig00057	2736	45.58
contig00058	2252	43.83
contig00059	2399	45.81
contig00060	2326	46.17
contig00061	2756	41.58
contig00062	2231	47.74
contig00063	2490	42.61
contig00064	2376	56.82
contig00065	2493	45.37
contig00066	2251	45.18
contig00067	2211	46.0
contig00068	2756	46.92
contig00069	4083	48.54
contig00070	4711	48.02
contig00071	6301	49.2
contig00072	1837	46.76
contig00073	2268	48.24
contig00074	4285	46.14
contig00075	2526	47.03
contig00076	2883	45.02
contig00077	2432	46.79
contig00078	2212	48.15
contig00079	2230	47.53
contig00080	2662	46.28
contig00081	2818	46.84
contig00082	2242	47.23
contig00083	2214	44.99
contig00084	4185	47.1
contig00085	3386	46.13
contig00086	2599	47.1
contig00087	4127	47.81
contig00088	3305	47.26
contig00089	2880	48.06
contig00090	4641	47.08
contig00091	2235	41.43
contig00092	2666	48.16
contig00093	2230	42.47
contig00094	4052	46.87
contig00095	2679	44.34
contig00096	9539	47.51
contig00097	6093	45.97
contig00098	3577	49.18
contig00099	2313	44.49
contig00100	2300	46.39
contig00101	2270	46.61
contig00102	2258	47.08
contig00103	2451	47.37
contig00104	2666	47.07
contig00105	2272	46.39
contig00106	3712	46.69
contig00107	2505	44.47
contig00108	2336	46.32
contig00109	3488	47.19
contig00110	2249	45.4
contig00111	2454	44.95
contig00112	2448	47.39
contig00113	4762	41.26
contig00114	2471	44.72
contig00115	3005	44.93
contig00116	2280	47.11
contig00117	1744	48.8
contig00118	2561	48.07
contig00119	2403	47.4
contig00120	3018	47.85
contig00121	2242	44.87
contig00122	2423	48.25
contig00123	2878	43.02
contig00124	4483	45.91
contig00125	2684	44.19
contig00126	3652	45.76
contig00127	2570	45.45
contig00128	2351	42.92
contig00129	3303	46.17
contig00130	4477	46.66
contig00131	2315	47.82
contig00132	2226	41.73
contig00133	2861	48.51
contig00134	5845	47.77
contig00135	2369	47.99
contig00136	2315	44.02
contig00137	4989	45.52
contig00138	6887	48.35
contig00139	2567	46.55
contig00140	2464	46.63
contig00141	5893	46.63
contig00142	2208	40.67
contig00143	2481	44.34
contig00144	2396	45.28
contig00145	2684	44.86
contig00146	2455	45.34
contig00147	3424	45.74
contig00148	2748	45.09
contig00149	2558	51.29
contig00150	2303	44.59
contig00151	2349	46.15
contig00152	2409	42.55
contig00153	3511	47.0
contig00154	3780	44.42
contig00155	2480	45.16
contig00156	2217	45.96
contig00157	2634	45.56
contig00158	3092	42.92
contig00159	2459	46.64
contig00160	3336	48.65
contig00161	2367	43.18
contig00162	2342	46.75
contig00163	2334	45.37
contig00164	2310	46.62
contig00165	2622	47.83
contig00166	3019	44.25
contig00167	2378	48.61
contig00168	2356	49.02
contig00169	2452	47.15
contig00170	2201	44.53
contig00171	4128	45.06
contig00172	2554	43.62
contig00173	2542	50.43
contig00174	2345	48.53
contig00175	3348	46.68
contig00176	5612	46.03
contig00177	2653	45.87
contig00178	2499	46.9
contig00179	2799	46.16
contig00180	2561	45.84
contig00181	2242	44.74
contig00182	3137	49.47
contig00183	2632	48.63
contig00184	3456	46.12
contig00185	2214	42.95
contig00186	2251	44.91
contig00187	2262	46.37
contig00188	2601	44.18
contig00189	2911	45.1
contig00190	2451	48.18
contig00191	2499	48.58
contig00192	2014	46.38
contig00193	2315	46.18
contig00194	2311	45.78
contig00195	6607	47.54
contig00196	3859	46.33
contig00197	4502	46.18
contig00198	2573	43.61
contig00199	3450	47.45
contig00200	4898	48.06
contig00201	2299	44.32
contig00202	2795	45.94
contig00203	2554	43.66
contig00204	2266	43.25
contig00205	3818	47.04
contig00206	4458	46.25
contig00207	2253	47.94
contig00208	2264	46.33
contig00209	3887	46.31
contig00210	2674	45.44
contig00211	3909	43.64
contig00212	2418	43.76
contig00213	2233	47.56
contig00214	2246	46.26
contig00215	3745	49.03
contig00216	3258	44.05
contig00217	2579	45.21
contig00218	3072	48.08
contig00219	2707	47.51
contig00220	3008	50.33
contig00221	3448	42.52
contig00222	2772	47.4
contig00223	2195	46.47
contig00224	2223	46.56
contig00225	2418	45.53
contig00226	2357	47.56
contig00227	2714	50.37
contig00228	2441	44.86
contig00229	6080	43.68
contig00230	2477	46.27
contig00231	7018	47.79
contig00232	3217	46.07
contig00233	3122	45.68
contig00234	2425	49.53
contig00235	2355	48.2
contig00236	3313	41.05
contig00237	2617	46.05
contig00238	2351	41.81
contig00239	2298	38.21
contig00240	2232	42.7
contig00241	6680	44.39
contig00242	2522	44.77
contig00243	4390	44.81
contig00244	2348	46.81
contig00245	2285	44.64
contig00246	4365	47.38
contig00247	2256	44.15
contig00248	2350	45.19
contig00249	6349	47.17
contig00250	2656	45.22
contig00251	3129	47.81
contig00252	2339	45.58
contig00253	6687	48.0
contig00254	2322	46.17
contig00255	2351	41.34
contig00256	2690	46.62
contig00257	2362	49.24
contig00258	4165	49.39
contig00259	2221	46.2
contig00260	2389	47.68
contig00261	2839	46.78
contig00262	4753	47.19
contig00263	2763	47.74
contig00264	2216	44.63
contig00265	2305	47.72
contig00266	3889	47.52
contig00267	3979	44.94
contig00268	2448	47.3
contig00269	2361	46.63
contig00270	2882	45.04
contig00271	3088	46.57
contig00272	2464	46.39
contig00273	2341	47.54
contig00274	2279	47.48
contig00275	5065	47.32
contig00276	2551	46.81
contig00277	2451	48.35
contig00278	2323	48.3
contig00279	7184	46.76
contig00280	2700	48.3
contig00281	3226	47.15
contig00282	2281	48.4
contig00283	3687	49.69
contig00284	4206	48.17
contig00285	2574	47.4
contig00286	3019	42.96
contig00287	2535	45.4
contig00288	2516	42.93
contig00289	4694	49.64
contig00290	4272	47.47
contig00291	2929	47.76
contig00292	2783	47.72
contig00293	2351	47.55
contig00294	2624	45.77
contig00295	2414	45.53
contig00296	4236	48.87
contig00297	2704	45.01
contig00298	2361	46.68
contig00299	6278	48.02
contig00300	8208	48.26
contig00301	3760	45.98
contig00302	2342	48.25
contig00303	2347	46.61
contig00304	3813	48.31
contig00305	4861	48.1
contig00306	5398	43.4
contig00307	3022	44.18
contig00308	2410	45.68
contig00309	2736	46.82
contig00310	2509	44.0
contig00311	2219	47.77
contig00312	2423	45.52
contig00313	2331	48.69
contig00314	6414	49.33
contig00315	2694	50.74
contig00316	2761	47.81
contig00317	4616	45.32
contig00318	2277	46.77
contig00319	2247	45.22
contig00320	3869	45.98
contig00321	2282	43.91
contig00322	2352	47.87
contig00323	3605	50.96
contig00324	3101	46.6
contig00325	2596	46.76
contig00326	2417	45.51
contig00327	2259	46.75
contig00328	2217	46.28
contig00329	6038	44.85
contig00330	2390	47.24
contig00331	2872	47.01
contig00332	4995	43.88
contig00333	2224	48.16
contig00334	2654	41.18
contig00335	2262	45.14
contig00336	2822	46.49
contig00337	2255	44.75
contig00338	2275	46.55
contig00339	5605	44.78
contig00340	3273	48.76
contig00341	2622	48.09
contig00342	2934	45.19
contig00343	2341	46.73
contig00344	4290	46.92
contig00345	3177	45.17
contig00346	2268	45.37
contig00347	2346	51.15
contig00348	2447	44.95
contig00349	2417	47.46
contig00350	2422	44.1
contig00351	2414	45.24
contig00352	2447	45.89
contig00353	2281	48.84
contig00354	3147	45.06
contig00355	5456	47.12
contig00356	2483	50.18
contig00357	2204	47.64
contig00358	4328	47.04
contig00359	2842	46.31
contig00360	3869	44.97
contig00361	2933	43.88
contig00362	2245	45.08
contig00363	2492	45.22
contig00364	2529	47.73
contig00365	5630	46.57
contig00366	2512	47.77
contig00367	2351	45.51
contig00368	2611	47.61
contig00369	2366	45.6
contig00370	2525	49.23
contig00371	3805	40.03
contig00372	2826	44.23
contig00373	4476	48.97
contig00374	2823	45.48
contig00375	4552	47.32
contig00376	3005	43.46
contig00377	2758	42.86
contig00378	2290	45.41
contig00379	2408	43.56
contig00380	3878	46.62
contig00381	2475	47.03
contig00382	2250	46.22
contig00383	2201	46.21
contig00384	2712	46.79
contig00385	2449	47.0
contig00386	3042	45.79
contig00387	3427	46.43
contig00388	2594	45.88
contig00389	2305	47.64
contig00390	4577	47.87
contig00391	3154	46.48
contig00392	2611	46.96
contig00393	2510	47.25
contig00394	2290	44.67
contig00395	2413	44.92
contig00396	2327	48.6
contig00397	3084	44.91
contig00398	4491	45.09
contig00399	2381	45.86
contig00400	2490	40.92
contig00401	3338	45.99
contig00402	2199	42.47
contig00403	2327	44.78
contig00404	2480	44.64
contig00405	2472	45.51
contig00406	2440	47.91
contig00407	3243	47.95
contig00408	3970	47.98
contig00409	4922	43.17
contig00410	3024	45.5
contig00411	2320	47.76
contig00412	3856	47.82
contig00413	2239	44.48
contig00414	5758	48.8
contig00415	3101	46.53
contig00416	2766	46.49
contig00417	2719	45.05
contig00418	2615	46.27
contig00419	2651	44.1
contig00420	2207	47.35
contig00421	2220	43.96
contig00422	4469	47.66
contig00423	2417	46.59
contig00424	5191	49.74
contig00425	2872	46.69
contig00426	3765	46.69
contig00427	2418	45.41
contig00428	2667	47.54
contig00429	2513	44.05
contig00430	2339	47.71
contig00431	2561	45.76
contig00432	2203	50.11
contig00433	3377	44.66
contig00434	2464	43.79
contig00435	3884	46.91
contig00436	2113	51.25
contig00437	5192	48.36
contig00438	2332	47.13
contig00439	2266	47.4
contig00440	2740	45.29
contig00441	6284	49.11
contig00442	2556	48.28
contig00443	2436	47.33
contig00444	5842	45.02
contig00445	2330	45.45
contig00446	3237	47.7
contig00447	1700	48.06
contig00448	4508	49.0
contig00449	4251	48.32
contig00450	2324	45.01
contig00451	2287	45.12
contig00452	4511	46.71
contig00453	4394	48.34
contig00454	2247	44.59
contig00455	2544	44.89
contig00456	2617	46.62
contig00457	2688	44.68
contig00458	2765	45.93
contig00459	2492	47.59
contig00460	2951	45.34
contig00461	2670	48.58
contig00462	2249	44.02
contig00463	2376	47.22
contig00464	2203	45.39
contig00465	2355	45.1
contig00466	2972	45.52
contig00467	4484	47.59
contig00468	2732	47.84
contig00469	2250	48.18
contig00470	4734	43.62
contig00471	4589	44.61
contig00472	8190	47.91
contig00473	2316	47.5
contig00474	3186	45.79
contig00475	2255	47.1
contig00476	2377	46.4
contig00477	3551	46.86
contig00478	6466	48.82
contig00479	5180	49.09
contig00480	4774	47.51
contig00481	2283	45.9
contig00482	2600	46.54
contig00483	1507	47.05
contig00484	4532	44.75
contig00485	3269	45.09
contig00486	2753	45.44
contig00487	2288	43.62
contig00488	2519	45.81
contig00489	2816	43.43
contig00490	2399	46.77
contig00491	2616	46.67
contig00492	2283	45.86
contig00493	2316	44.39
contig00494	7651	47.99
contig00495	5525	47.96
contig00496	1489	49.29
contig00497	2994	44.59
contig00498	3909	46.0
contig00499	2495	44.97
contig00500	2389	46.42
contig00501	2759	45.67
contig00502	2402	47.5
contig00503	2409	46.7
contig00504	2545	48.17
contig00505	3102	47.65
contig00506	4121	48.75
contig00507	2731	44.67
contig00508	5957	47.51
contig00509	2675	44.56
contig00510	3264	47.43
contig00511	2770	45.63
contig00512	4679	44.6
contig00513	2809	45.25
contig00514	3240	46.88
contig00515	2254	45.65
contig00516	2815	44.55
contig00517	4401	47.74
contig00518	2774	50.22
contig00519	2533	42.12
