contig_name	length	gc
contig00001	3120	47.34
contig00002	2616	46.75
contig00003	3960	44.14
contig00004	4270	48.92
contig00005	2577	48.74
contig00006	6257	46.51
contig00007	2708	45.94
contig00008	3406	44.45
contig00009	4797	48.22
contig00010	3659	44.08
contig00011	3095	47.08
contig00012	4437	48.88
contig00013	8232	50.16
contig00014	2580	46.28
contig00015	2823	45.38
contig00016	2612	48.89
contig00017	2237	46.27
contig00018	2289	45.57
contig00019	7142	47.3
contig00020	2333	48.01
contig00021	2472	47.05
contig00022	3541	46.48
contig00023	2215	47.81
contig00024	2435	46.32
contig00025	2407	45.37
contig00026	2691	46.12
contig00027	2236	39.04
contig00028	2606	47.24
contig00029	2361	44.47
contig00030	2339	46.69
contig00031	2843	46.68
contig00032	2825	48.67
contig00033	2454	46.9
contig00034	2725	45.98
contig00035	2430	45.23
contig00036	2250	46.13
contig00037	2594	45.76
contig00038	2733	49.03
contig00039	2257	44.79
contig00040	8368	47.47
contig00041	2693	49.57
contig00042	2248	46.22
contig00043	1502	47.27
contig00044	6147	48.84
contig00045	3539	45.66
contig00046	2519	47.68
contig00047	2363	49.77
contig00048	2396	45.12
contig00049	2831	45.57
contig00050	5200	46.65
contig00051	2413	45.75
contig00052	2469	46.98
contig00053	5452	49.43
contig00054	2265	47.02
contig00055	2470	49.35
contig00056	2350	47.02
contig00057	2430	47.33
contig00058	2497	47.54
contig00059	2409	43.67
contig00060	2402	46.17
contig00061	2553	45.12
contig00062	2386	47.57
contig00063	1360	45.51
contig00064	4315	42.64
contig00065	2381	45.4
contig00066	2722	47.72
contig00067	2790	47.17
contig00068	2241	48.59
contig00069	2379	47.79
contig00070	5122	49.18
contig00071	2454	46.09
contig00072	2737	48.81
contig00073	2626	48.25
contig00074	2516	46.5
contig00075	2787	49.05
contig00076	6985	47.77
contig00077	4744	46.5
contig00078	2949	45.0
contig00079	2813	48.1
contig00080	6858	47.64
contig00081	2905	47.33
contig00082	2395	44.43
contig00083	2756	47.57
contig00084	5045	50.39
contig00085	2529	45.75
contig00086	2227	47.33
contig00087	10019	47.31
contig00088	2436	49.06
contig00089	2332	49.23
contig00090	2505	46.11
contig00091	2963	47.76
contig00092	2335	48.18
contig00093	2418	46.73
contig00094	6182	49.08
contig00095	2288	38.9
contig00096	4725	45.67
contig00097	2374	46.97
contig00098	1877	43.31
contig00099	4039	47.76
contig00100	24030	47.2
contig00101	2440	46.39
contig00102	2524	47.62
contig00103	5744	48.78
contig00104	4549	48.1
contig00105	4616	46.45
contig00106	5065	48.77
contig00107	2330	42.96
contig00108	2493	47.05
contig00109	3968	47.76
contig00110	2542	46.14
contig00111	3899	45.86
contig00112	4232	46.17
contig00113	2218	50.59
contig00114	4219	47.64
contig00115	2524	45.96
contig00116	2902	44.62
contig00117	2510	46.93
contig00118	18764	48.77
contig00119	2725	45.28
contig00120	3569	45.9
contig00121	4604	47.98
contig00122	2472	46.32
contig00123	8979	49.53
contig00124	2258	47.56
contig00125	4349	44.49
contig00126	2814	47.44
contig00127	2279	47.48
contig00128	2207	48.26
contig00129	2416	46.15
contig00130	2626	46.34
contig00131	2203	45.21
contig00132	2300	41.17
contig00133	4413	46.14
contig00134	4974	47.39
contig00135	2223	45.93
contig00136	2753	46.89
contig00137	2206	45.6
contig00138	4118	45.63
contig00139	3901	42.99
contig00140	2674	46.45
contig00141	2377	46.4
contig00142	9412	48.1
contig00143	4243	46.59
contig00144	2276	46.92
contig00145	3062	42.91
contig00146	2478	46.0
contig00147	2724	48.94
contig00148	5070	47.91
contig00149	2211	45.55
contig00150	6597	45.05
contig00151	2697	49.24
contig00152	2835	44.97
contig00153	2441	43.63
contig00154	2774	43.11
contig00155	2319	46.87
contig00156	3867	48.82
contig00157	3613	48.55
contig00158	2259	45.02
contig00159	2973	43.09
contig00160	5975	46.71
contig00161	4876	48.01
contig00162	2601	46.56
contig00163	5379	48.73
contig00164	2691	44.52
contig00165	2380	45.67
contig00166	3591	48.48
contig00167	2324	45.18
contig00168	4097	44.81
contig00169	6426	49.28
contig00170	4373	44.89
contig00171	4161	47.68
contig00172	8662	47.06
contig00173	2257	44.84
contig00174	4034	46.08
contig00175	6568	46.45
contig00176	2542	44.41
contig00177	2225	42.83
contig00178	2496	50.24
contig00179	7168	46.61
contig00180	2556	43.86
contig00181	2771	48.57
contig00182	2651	44.96
contig00183	4429	47.39
contig00184	2676	48.65
contig00185	5006	49.08
contig00186	2964	47.6
contig00187	6735	46.67
contig00188	9322	48.78
contig00189	2234	48.57
contig00190	2695	44.94
contig00191	6042	48.28
contig00192	6286	49.05
contig00193	2716	46.24
contig00194	2313	48.64
contig00195	6714	45.76
contig00196	2215	46.09
contig00197	2853	46.83
contig00198	2338	45.85
contig00199	2941	46.07
contig00200	3838	46.98
contig00201	2313	42.41
contig00202	2691	47.31
contig00203	6254	45.08
contig00204	4330	46.56
contig00205	4743	47.56
contig00206	3062	47.58
contig00207	2468	46.31
contig00208	2638	45.87
contig00209	2339	46.47
contig00210	2298	46.56
contig00211	2244	47.37
contig00212	2222	47.25
contig00213	2782	48.2
contig00214	5959	47.88
contig00215	2562	45.71
contig00216	2330	42.83
contig00217	2808	45.94
contig00218	2752	47.06
contig00219	2601	49.13
contig00220	3665	46.47
contig00221	2912	47.8
contig00222	2937	44.91
contig00223	2828	41.94
contig00224	2301	44.89
contig00225	2351	46.19
contig00226	5784	47.32
contig00227	5288	48.64
contig00228	3660	45.38
contig00229	6785	46.41
contig00230	2465	44.14
contig00231	13738	48.59
contig00232	2584	44.78
contig00233	2303	44.68
contig00234	2306	47.83
contig00235	2306	47.27
contig00236	2297	43.1
contig00237	2225	47.1
contig00238	2217	45.47
contig00239	4195	45.29
contig00240	4924	46.71
contig00241	2208	46.83
contig00242	2229	47.51
contig00243	2560	45.59
contig00244	2622	47.52
contig00245	2623	43.31
contig00246	2712	46.5
contig00247	2700	45.67
contig00248	2373	41.51
contig00249	2880	45.73
contig00250	2282	45.31
contig00251	4389	46.57
contig00252	3940	47.99
contig00253	2325	45.29
contig00254	1124	41.55
contig00255	4414	49.3
contig00256	2775	46.38
contig00257	2431	45.91
contig00258	2886	47.92
contig00259	2556	43.19
contig00260	2328	43.51
contig00261	2630	49.81
contig00262	2549	47.82
contig00263	3296	47.15
contig00264	2380	48.36
contig00265	2465	44.62
contig00266	5215	44.72
contig00267	3253	42.79
contig00268	7595	45.53
contig00269	2774	45.28
contig00270	5800	47.93
contig00271	6095	48.17
contig00272	2237	45.11
contig00273	4390	46.9
contig00274	4724	45.83
contig00275	2273	47.25
contig00276	6043	46.38
contig00277	2509	47.15
contig00278	4190	44.15
contig00279	2968	44.27
contig00280	4508	47.03
contig00281	2360	45.04
contig00282	6262	46.17
contig00283	2313	45.44
contig00284	2195	44.42
contig00285	5101	47.28
contig00286	2988	45.88
contig00287	2682	46.94
contig00288	6356	45.19
contig00289	7611	45.46
contig00290	2425	47.75
contig00291	6202	45.5
contig00292	6781	45.73
contig00293	6352	47.07
contig00294	2511	45.84
contig00295	7776	47.81
contig00296	4689	46.75
contig00297	3741	46.11
contig00298	7717	47.58
contig00299	2743	47.98
contig00300	2964	48.48
contig00301	2250	47.42
contig00302	2345	48.27
contig00303	3046	46.95
contig00304	2415	47.0
contig00305	5246	47.26
contig00306	6910	47.71
contig00307	2587	48.78
contig00308	5625	46.84
contig00309	2288	48.47
contig00310	6164	48.93
contig00311	4407	46.09
contig00312	4235	48.1
contig00313	4249	46.58
contig00314	4729	46.25
contig00315	2907	39.25
contig00316	7042	45.91
contig00317	2694	49.59
contig00318	2246	46.35
contig00319	2299	46.93
contig00320	2928	46.28
contig00321	4344	47.05
contig00322	7426	45.85
contig00323	2322	46.34
contig00324	2685	45.96
contig00325	4962	48.59
contig00326	3363	47.55
contig00327	5683	45.68
contig00328	4628	46.85
contig00329	2219	47.0
contig00330	4632	45.55
contig00331	2234	49.15
contig00332	2237	45.73
contig00333	3221	45.67
contig00334	2520	47.7
contig00335	3033	44.41
contig00336	2646	46.64
contig00337	4113	47.29
contig00338	4318	44.49
contig00339	2711	49.28
contig00340	3796	48.16
contig00341	2472	44.54
contig00342	4075	47.95
contig00343	1713	48.16
contig00344	2293	47.8
contig00345	3346	46.8
contig00346	2314	46.5
contig00347	4096	46.8
contig00348	4828	48.47
contig00349	2658	44.7
contig00350	3993	46.21
contig00351	7825	47.97
contig00352	4734	49.05
contig00353	4636	45.66
contig00354	6355	47.19
contig00355	4343	48.68
contig00356	2294	48.26
contig00357	3109	46.19
contig00358	2251	46.69
contig00359	2229	45.9
contig00360	4701	47.63
contig00361	2224	41.68
contig00362	2934	45.36
contig00363	4405	47.26
contig00364	2487	46.72
contig00365	6468	47.22
contig00366	2343	45.97
contig00367	4447	42.23
contig00368	2814	44.95
contig00369	4411	46.84
contig00370	5586	48.46
contig00371	2847	48.79
contig00372	3567	47.69
contig00373	2468	50.32
contig00374	4692	47.59
contig00375	4211	46.92
contig00376	3074	47.56
contig00377	2295	43.18
contig00378	4093	48.6
contig00379	2591	41.72
contig00380	3092	47.77
contig00381	2484	46.01
contig00382	2686	46.87
contig00383	4803	46.03
contig00384	4427	46.49
contig00385	2384	44.67
contig00386	4447	45.87
contig00387	2315	45.75
contig00388	2256	45.12
contig00389	3004	47.37
contig00390	3391	46.59
contig00391	5165	47.22
contig00392	14241	49.04
contig00393	2779	46.64
contig00394	2811	45.89
contig00395	2204	48.09
contig00396	4675	45.63
contig00397	2500	42.8
contig00398	10689	45.65
contig00399	1999	47.77
contig00400	2363	45.54
contig00401	5368	43.54
contig00402	2349	46.36
contig00403	4429	49.13
contig00404	3211	46.62
contig00405	2794	44.74
contig00406	2442	45.78
contig00407	3076	44.86
contig00408	3426	42.73
contig00409	2249	46.69
contig00410	2542	40.2
contig00411	2350	45.11
contig00412	2219	45.38
contig00413	5703	46.26
contig00414	2258	48.18
contig00415	2229	44.68
contig00416	4114	46.6
contig00417	2638	46.93
contig00418	3230	48.2
contig00419	2531	46.03
contig00420	2473	46.46
contig00421	3661	45.83
contig00422	4266	46.86
contig00423	4611	47.41
contig00424	2228	47.4
contig00425	4513	47.15
contig00426	4470	44.85
contig00427	2253	45.14
contig00428	9819	47.16
contig00429	2564	47.35
contig00430	2226	46.63
contig00431	2418	46.15
contig00432	2695	44.68
contig00433	2581	47.77
contig00434	2387	49.64
contig00435	2339	44.42
contig00436	3564	44.14
contig00437	2467	46.62
contig00438	2707	46.62
contig00439	4256	47.11
contig00440	2376	45.33
contig00441	3010	47.54
contig00442	2867	46.91
contig00443	2193	49.38
contig00444	3052	44.23
contig00445	3835	44.9
contig00446	2206	47.01
contig00447	7797	48.17
contig00448	3226	47.86
contig00449	2217	45.78
contig00450	2228	44.39
contig00451	2660	45.56
contig00452	6822	48.48
contig00453	2552	44.59
contig00454	3193	45.22
contig00455	2780	48.63
contig00456	5907	45.83
contig00457	4722	45.3
contig00458	5562	46.98
contig00459	3178	47.04
contig00460	2278	45.7
contig00461	5738	48.43
contig00462	2747	46.41
contig00463	2279	44.32
contig00464	4341	43.63
contig00465	3623	46.51
contig00466	2228	43.49
contig00467	2513	47.91
contig00468	2273	47.29
contig00469	12065	49.29
contig00470	2675	46.84
contig00471	2471	46.05
contig00472	5988	47.71
contig00473	8631	46.87
contig00474	2187	45.5
contig00475	3147	44.96
contig00476	2522	43.93
contig00477	3339	47.65
contig00478	1042	47.6
contig00479	2297	47.76
