contig_name	length	gc
contig00001	76319	46.0
contig00002	2636	43.13
contig00003	5775	39.52
contig00004	55506	45.3
contig00005	5161	45.86
contig00006	7473	43.96
contig00007	18570	46.44
contig00008	2278	44.34
contig00009	3536	45.22
contig00010	2766	35.57
contig00011	30895	45.08
contig00012	2690	43.94
contig00013	40468	43.88
contig00014	36251	46.58
contig00015	24173	45.15
contig00016	3193	39.4
contig00017	14988	45.41
contig00018	35793	45.19
contig00019	2294	43.94
contig00020	2405	40.79
contig00021	1117	41.36
contig00022	13758	46.21
contig00023	19495	45.37
contig00024	15657	44.13
contig00025	4100	43.83
contig00026	15818	44.23
contig00027	2749	39.11
contig00028	75697	46.09
contig00029	33641	46.41
contig00030	11594	41.19
contig00031	4068	44.76
contig00032	2290	43.8
contig00033	9380	44.4
contig00034	47387	45.15
contig00035	66764	45.19
contig00036	5146	42.32
contig00037	5031	40.65
contig00038	9042	45.47
contig00039	35749	45.84
contig00040	12286	43.09
contig00041	12943	45.1
contig00042	13230	42.42
contig00043	2085	47.1
contig00044	28000	43.97
contig00045	7900	44.3
contig00046	2825	44.07
contig00047	231332	45.93
contig00048	2394	45.36
contig00049	10580	45.44
contig00050	2327	45.29
contig00051	4274	44.97
contig00052	14948	41.85
contig00053	36448	45.85
contig00054	25292	40.9
contig00055	2371	41.84
contig00056	9828	44.44
contig00057	5316	42.04
contig00058	5433	45.41
contig00059	49414	45.93
contig00060	29941	46.6
contig00061	36408	45.9
contig00062	2276	44.46
contig00063	14509	43.53
contig00064	11582	44.88
contig00065	15843	45.6
contig00066	9631	45.55
contig00067	129584	46.02
contig00068	4271	42.31
contig00069	2210	43.76
contig00070	4483	44.28
contig00071	7679	44.9
contig00072	3580	43.44
contig00073	5882	44.66
contig00074	4820	43.32
contig00075	3336	44.96
contig00076	6779	45.85
contig00077	10810	42.76
contig00078	1780	43.31
contig00079	6736	44.14
contig00080	3839	43.92
contig00081	24824	44.58
contig00082	14274	44.87
contig00083	13342	45.23
contig00084	1861	45.46
contig00085	2664	45.38
contig00086	11213	39.62
contig00087	5006	41.85
contig00088	6413	45.3
contig00089	2036	45.63
contig00090	60445	45.22
contig00091	2558	42.3
contig00092	6853	44.91
contig00093	3423	45.02
contig00094	7639	44.08
contig00095	1972	44.17
contig00096	10535	41.17
contig00097	13612	43.56
contig00098	30316	44.59
contig00099	27039	43.86
contig00100	16516	40.96
contig00101	8858	46.5
contig00102	2328	44.59
contig00103	3789	44.95
contig00104	4728	45.81
contig00105	4416	43.18
contig00106	10196	45.55
contig00107	2265	43.4
contig00108	15175	46.23
contig00109	2515	42.9
contig00110	3337	43.21
contig00111	6298	41.0
contig00112	152707	45.64
contig00113	7207	44.37
contig00114	6385	42.51
contig00115	11280	44.05
contig00116	10427	45.86
contig00117	26918	45.16
contig00118	4168	47.31
contig00119	16951	45.58
contig00120	7156	45.05
contig00121	2418	42.02
contig00122	31375	45.7
contig00123	7639	43.26
contig00124	2331	43.93
contig00125	13750	45.66
contig00126	1373	40.28
contig00127	2986	44.94
contig00128	6870	45.56
contig00129	24248	45.82
contig00130	19360	45.54
contig00131	2379	44.05
contig00132	3022	44.18
contig00133	46021	43.99
contig00134	7444	46.2
contig00135	5462	44.98
contig00136	2849	44.72
contig00137	2548	41.13
contig00138	86711	46.0
contig00139	31454	43.5
contig00140	31483	41.76
contig00141	67252	46.2
contig00142	2402	43.26
contig00143	2947	44.55
contig00144	36761	45.63
contig00145	2218	41.93
contig00146	5053	47.32
contig00147	22807	44.67
contig00148	10475	45.87
contig00149	2390	45.31
contig00150	3540	44.52
contig00151	7007	44.11
contig00152	5148	44.5
contig00153	6563	42.72
contig00154	2257	43.11
contig00155	4085	45.26
contig00156	8504	41.27
contig00157	64230	42.68
contig00158	57574	45.56
contig00159	9981	45.65
contig00160	11155	46.15
contig00161	5137	43.51
contig00162	5441	44.16
contig00163	4842	45.23
contig00164	8993	44.43
contig00165	10127	43.9
contig00166	16754	43.9
contig00167	4196	42.83
contig00168	55800	45.97
contig00169	2949	44.05
contig00170	4054	45.34
contig00171	9584	45.45
contig00172	7131	43.82
contig00173	6455	44.55
contig00174	2561	43.89
contig00175	2205	42.49
contig00176	2437	45.22
contig00177	14252	43.66
contig00178	6267	44.17
contig00179	8150	44.09
contig00180	2692	45.99
contig00181	4400	43.86
contig00182	26331	45.98
contig00183	11378	40.44
contig00184	7160	43.87
contig00185	15802	45.7
contig00186	6578	45.44
contig00187	2701	43.76
contig00188	46243	46.23
contig00189	4682	44.13
contig00190	38997	45.32
contig00191	2636	42.98
contig00192	8624	44.54
contig00193	2159	40.76
contig00194	13855	46.58
contig00195	9921	45.4
contig00196	2267	44.68
contig00197	3019	43.16
contig00198	32488	46.21
contig00199	13282	44.21
contig00200	10874	45.9
contig00201	2327	43.45
contig00202	107732	46.2
contig00203	20907	45.57
contig00204	32560	47.48
contig00205	7199	44.31
contig00206	4894	44.56
contig00207	2799	41.26
contig00208	25478	44.96
contig00209	6885	43.05
contig00210	2790	45.16
contig00211	41392	44.2
contig00212	3089	39.56
contig00213	10046	43.86
contig00214	14346	43.66
contig00215	5376	46.26
contig00216	11169	44.99
contig00217	101987	45.3
contig00218	8700	45.6
contig00219	26267	44.99
contig00220	17205	42.42
contig00221	37682	45.44
contig00222	41758	45.57
contig00223	2609	44.5
contig00224	21955	45.12
contig00225	14239	45.46
contig00226	52231	45.33
contig00227	45629	46.21
contig00228	7167	42.18
contig00229	3421	43.47
contig00230	15398	44.91
contig00231	4912	44.01
contig00232	2520	44.52
contig00233	8077	45.41
contig00234	7307	41.88
contig00235	5369	41.11
contig00236	18839	44.91
contig00237	3403	43.76
contig00238	5377	42.05
contig00239	18194	45.94
contig00240	3857	41.41
contig00241	29057	44.38
contig00242	7107	45.17
contig00243	4354	45.77
contig00244	7870	42.96
contig00245	29394	44.45
contig00246	2691	43.52
contig00247	8063	44.82
contig00248	27091	46.07
contig00249	5068	45.4
contig00250	2593	44.0
contig00251	41440	45.22
contig00252	2331	38.87
contig00253	2369	42.34
contig00254	50042	45.86
contig00255	5968	42.56
contig00256	2331	42.6
contig00257	6313	45.54
contig00258	3809	44.26
contig00259	69289	45.26
contig00260	33359	45.67
contig00261	35176	45.28
contig00262	3915	39.77
contig00263	57964	45.56
contig00264	12792	45.52
contig00265	3469	43.44
contig00266	6674	46.24
contig00267	2609	43.73
contig00268	78738	46.24
contig00269	63165	45.78
contig00270	40891	45.48
contig00271	13838	43.5
contig00272	2223	45.61
contig00273	5487	43.03
contig00274	2558	39.29
contig00275	2501	43.98
contig00276	44319	45.4
contig00277	29205	46.27
contig00278	2028	43.15
contig00279	4158	45.67
contig00280	78130	45.25
contig00281	32003	45.29
contig00282	15952	44.64
contig00283	30754	45.91
contig00284	18856	45.3
contig00285	74947	45.69
contig00286	8767	44.54
contig00287	2238	44.91
contig00288	5125	41.23
contig00289	2903	42.68
contig00290	41319	45.91
contig00291	14071	46.29
contig00292	31668	44.53
contig00293	2702	45.45
contig00294	8034	45.17
contig00295	10258	46.21
contig00296	7674	44.21
contig00297	5062	44.49
contig00298	14068	45.37
contig00299	2911	44.8
contig00300	4853	43.19
contig00301	2213	40.89
contig00302	4907	44.67
contig00303	4952	45.38
contig00304	2223	41.3
contig00305	9824	44.16
contig00306	4969	41.66
contig00307	2366	43.41
contig00308	6768	44.52
contig00309	29874	47.13
contig00310	14209	42.94
contig00311	11744	42.84
contig00312	23747	46.11
contig00313	8614	45.86
contig00314	4450	43.71
contig00315	57212	45.39
contig00316	2714	43.92
contig00317	2782	42.13
contig00318	10632	45.88
contig00319	15596	44.74
contig00320	11932	43.31
contig00321	160685	46.31
contig00322	2436	43.76
contig00323	2160	43.94
contig00324	7155	45.12
contig00325	42067	45.28
contig00326	5597	49.63
contig00327	24121	45.4
contig00328	9865	44.51
contig00329	18376	46.6
contig00330	16334	45.84
contig00331	4676	43.99
contig00332	4694	43.78
contig00333	69929	46.63
contig00334	5609	42.97
contig00335	33435	45.16
contig00336	4958	45.06
contig00337	1684	44.48
contig00338	687	50.66
