contig_name	length	gc
contig00001	2655	48.29
contig00002	2206	45.92
contig00003	2463	47.71
contig00004	2737	43.99
contig00005	2725	46.09
contig00006	9448	44.23
contig00007	2975	46.39
contig00008	2852	41.76
contig00009	2421	46.67
contig00010	3903	45.17
contig00011	4270	46.46
contig00012	2277	44.14
contig00013	2586	46.09
contig00014	2322	48.23
contig00015	2313	44.27
contig00016	2405	46.94
contig00017	2205	44.4
contig00018	2504	45.45
contig00019	2545	44.95
contig00020	4136	47.22
contig00021	9250	47.79
contig00022	3450	45.91
contig00023	2815	39.93
contig00024	5186	48.82
contig00025	6598	45.59
contig00026	4726	46.3
contig00027	2428	43.82
contig00028	2765	46.55
contig00029	2960	41.22
contig00030	2620	47.52
contig00031	5121	44.44
contig00032	5485	43.26
contig00033	7454	45.95
contig00034	12914	46.69
contig00035	2274	48.37
contig00036	2281	44.32
contig00037	2912	48.39
contig00038	2203	46.94
contig00039	3113	45.81
contig00040	3922	44.29
contig00041	3253	49.06
contig00042	11009	45.1
contig00043	2353	47.39
contig00044	2364	44.71
contig00045	2857	44.87
contig00046	2837	44.73
contig00047	2197	46.61
contig00048	3887	49.34
contig00049	2407	45.99
contig00050	2755	46.21
contig00051	5557	46.28
contig00052	2459	48.72
contig00053	4587	44.45
contig00054	4129	45.92
contig00055	2554	47.57
contig00056	9294	46.44
contig00057	4208	44.7
contig00058	1438	44.92
contig00059	2343	44.34
contig00060	2222	49.91
contig00061	3327	45.24
contig00062	2332	42.02
contig00063	2212	44.35
contig00064	2635	47.17
contig00065	2247	47.89
contig00066	5223	45.59
contig00067	3373	43.05
contig00068	2384	46.64
contig00069	2273	45.23
contig00070	5502	47.47
contig00071	2812	44.24
contig00072	4798	47.96
contig00073	2533	42.4
contig00074	2644	47.73
contig00075	9639	47.48
contig00076	2812	44.91
contig00077	2250	41.82
contig00078	4302	43.82
contig00079	6084	44.97
contig00080	2223	45.16
contig00081	2465	50.79
contig00082	3071	45.03
contig00083	2443	45.89
contig00084	2226	48.56
contig00085	3902	46.57
contig00086	2307	44.34
contig00087	2685	46.63
contig00088	2301	45.94
contig00089	2352	47.7
contig00090	5297	46.67
contig00091	2318	45.13
contig00092	9404	45.68
contig00093	4262	45.21
contig00094	4404	46.59
contig00095	3317	46.25
contig00096	2977	47.33
contig00097	2230	46.19
contig00098	2685	46.15
contig00099	3549	46.07
contig00100	4291	46.4
contig00101	2463	45.23
contig00102	14085	46.0
contig00103	2423	45.4
contig00104	2211	48.67
contig00105	2501	47.86
contig00106	2714	46.43
contig00107	2263	45.29
contig00108	3596	43.88
contig00109	4033	45.3
contig00110	4255	48.34
contig00111	2781	42.86
contig00112	2256	46.85
contig00113	4156	44.49
contig00114	2321	45.02
contig00115	14238	44.87
contig00116	10609	46.39
contig00117	2269	46.1
contig00118	2735	46.51
contig00119	2580	44.84
contig00120	4144	45.49
contig00121	4667	47.29
contig00122	2680	45.19
contig00123	2377	41.82
contig00124	2421	43.7
contig00125	2693	46.49
contig00126	2667	43.08
contig00127	2311	43.62
contig00128	2905	45.65
contig00129	2206	47.1
contig00130	11995	47.93
contig00131	2292	48.6
contig00132	2595	47.9
contig00133	3050	46.0
contig00134	2279	45.5
contig00135	2255	45.59
contig00136	2596	44.99
contig00137	4411	48.83
contig00138	3219	45.48
contig00139	5274	47.02
contig00140	2880	43.82
contig00141	4176	44.85
contig00142	2950	46.95
contig00143	4097	44.98
contig00144	2654	43.37
contig00145	6412	46.55
contig00146	3325	48.39
contig00147	3144	45.42
contig00148	2776	45.57
contig00149	2724	47.39
contig00150	2738	45.29
contig00151	2932	43.42
contig00152	2255	47.41
contig00153	2322	45.26
contig00154	2408	44.6
contig00155	2330	45.15
contig00156	2276	47.36
contig00157	7183	47.67
contig00158	5350	47.14
contig00159	4723	47.26
contig00160	2662	43.8
contig00161	2382	44.29
contig00162	5354	47.59
contig00163	2572	47.67
contig00164	5826	45.01
contig00165	2243	48.02
contig00166	2956	45.33
contig00167	3056	48.0
contig00168	2450	44.65
contig00169	5852	44.45
contig00170	11480	47.7
contig00171	2228	47.71
contig00172	2447	45.32
contig00173	2343	47.25
contig00174	2708	46.79
contig00175	4807	45.81
contig00176	5469	49.04
contig00177	3635	46.24
contig00178	2374	44.65
contig00179	2534	47.28
contig00180	2956	46.68
contig00181	2391	46.68
contig00182	2458	40.81
contig00183	2459	47.09
contig00184	2560	45.12
contig00185	6374	46.36
contig00186	2238	44.64
contig00187	2483	46.03
contig00188	3931	47.24
contig00189	2633	43.6
contig00190	2330	46.82
contig00191	6323	46.43
contig00192	2733	45.74
contig00193	9924	46.48
contig00194	2609	46.88
contig00195	2482	46.58
contig00196	3458	45.66
contig00197	2990	45.55
contig00198	2550	46.9
contig00199	2574	45.84
contig00200	2575	45.17
contig00201	4109	46.95
contig00202	2647	48.02
contig00203	2530	47.19
contig00204	2237	45.78
contig00205	3345	47.26
contig00206	1898	47.21
contig00207	2254	48.09
contig00208	3207	45.84
contig00209	2537	46.55
contig00210	2322	44.06
contig00211	2229	46.12
contig00212	4116	42.06
contig00213	6641	48.56
contig00214	3307	42.12
contig00215	2542	43.86
contig00216	3504	44.75
contig00217	2386	46.94
contig00218	2461	46.57
contig00219	2498	46.36
contig00220	2710	46.2
contig00221	1878	45.95
contig00222	2390	46.44
contig00223	4108	43.96
contig00224	2453	47.41
contig00225	7814	46.79
contig00226	12901	46.58
contig00227	4091	45.64
contig00228	2898	44.24
contig00229	5539	45.51
contig00230	3696	45.27
contig00231	4483	48.0
contig00232	8852	45.37
contig00233	5607	46.99
contig00234	3108	39.51
contig00235	2426	44.27
contig00236	2916	41.6
contig00237	2792	46.63
contig00238	12735	45.79
contig00239	2210	47.06
contig00240	2698	45.7
contig00241	12265	45.28
contig00242	8254	47.37
contig00243	2548	46.78
contig00244	8401	48.02
contig00245	5560	45.29
contig00246	3482	46.61
contig00247	2558	42.57
contig00248	3811	45.66
