Sample	contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
11813_EXE_30_2025_L_PBC74148	chromosome	3368906	56.69	31.54	32	77	1.0	circular																																																																								
11813_EXE_30_2025_L_PBC74148	1	635152	44.39	26.91	26	57	0.78	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	2	396740	41.73	24.23	23	53	0.74	not_circular	Yes	NZ_CP099953.1	0.0862491	0.0	89/1000	2590876743.0	Vibrio alginolyticus strain Isc25B plasmid unnamed, complete sequence	2023-10-08	linear	complete	663.0	plasmid	47762.0	CP099953.1	RefSeq	SAMN29333291	29333291.0	SAMN29333291	Colombia:Narino,Iscuande	2.638889 N 78.089167 W		Anadara tuberculosa	2021-10			19078461.0	GCF_030991385.1	Complete Genome	45.0	2023-08-30	2023-08-30	True	SAMN29333291	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_alginolyticus		663.0	species	['Bacteria', 'Pseudomonadota', 'Gammaproteobacteria', 'Vibrionales', 'Vibrionaceae', 'Vibrio', 'Vibrio alginolyticus', '']	Bacteria;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_alginolyticus;	2.0	1224.0	1236.0	135623.0	641.0	662.0	663.0		True	True	True		0.0		0.4388844688245886	47762.0	Anadara tuberculosa	BIOSAMPLE_Host	Anadara tuberculosa		2.638889	-78.089167		-10.3999605	-2.9361706		
11813_EXE_30_2025_L_PBC74148	3	234940	41.66	21.66	24	53	0.73	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	4	156841	47.25	19.35	35	58	0.83	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	5	66839	51.92	15.01	38	61	0.92	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	6	66783	15.61	13.17	5	25	0.28	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	7	56868	55.22	25.89	37	75	0.97	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	8	35227	47.06	19.03	29	64	0.83	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	9	33493	76.26	27.32	50	96	1.35	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	10	31405	32.53	18.14	19	49	0.57	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	11	29496	45.76	23.5	22	71	0.81	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	12	28081	63.57	24.81	36	85	1.12	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	13	23346	78.64	22.45	58	97	1.39	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	14	22222	37.5	13.73	27	47	0.66	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	15	16374	118.49	18.11	103	138	2.09	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	16	7469	107.96	4.91	104	112	1.9	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	17	3997	119.34	10.8	112	127	2.11	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	18	1366	92.14	2.97	90	94	1.63	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	19	1349	58.34	1.25	57	59	1.03	not_circular																																																																								
11813_EXE_30_2025_L_PBC74148	20	716	50.25	1.22	50	51	0.89	not_circular																																																																								
