Sample	contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
11813_EXE_01_2024_7_PBC74148	chromosome	3319412	56.49	16.11	45	68	1.0	circular																																																																								
11813_EXE_01_2024_7_PBC74148	1	982515	42.59	12.11	34	52	0.75	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	2	146814	46.48	10.43	40	53	0.82	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	3	132737	47.33	10.06	40	53	0.84	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	4	131437	39.98	14.02	29	53	0.71	circular																																																																								
11813_EXE_01_2024_7_PBC74148	5	91593	44.35	17.57	28	60	0.79	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	6	79997	63.78	14.59	51	78	1.13	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	7	75705	37.08	11.44	28	47	0.66	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	8	62842	59.67	11.0	52	72	1.06	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	9	49658	62.27	6.02	57	67	1.1	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	10	40226	44.18	5.33	40	48	0.78	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	11	34995	28.59	17.6	14	45	0.51	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	12	33592	57.26	6.51	53	63	1.01	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	13	18468	58.56	3.18	56	61	1.04	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	14	17167	61.54	2.33	60	62	1.09	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	15	13252	57.94	3.41	57	60	1.03	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	16	12061	63.39	1.99	62	65	1.12	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	17	10014	63.69	1.86	62	65	1.13	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	18	9145	39.25	2.22	38	41	0.69	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	19	8536	64.52	1.85	63	66	1.14	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	20	7841	60.79	1.47	60	62	1.08	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	21	7532	49.3	4.94	46	50	0.87	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	22	6718	63.73	1.84	62	65	1.13	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	23	3808	44.44	1.19	44	45	0.79	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	24	998	64.32	0.82	64	65	1.14	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	25	148	103.49	0.85	103	104	1.83	not_circular																																																																								
11813_EXE_01_2024_7_PBC74148	26	119	51.9	0.3	52	52	0.92	not_circular																																																																								
