Sample	contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
11813_EXE_30_2025_S_PBC74148	chromosome	3201227	60.38	17.07	47	74	1.0	circular																																																																								
11813_EXE_30_2025_S_PBC74148	1	743425	52.77	13.78	42	61	0.87	not_circular																																																																								
11813_EXE_30_2025_S_PBC74148	2	431259	42.76	10.85	33	52	0.71	not_circular																																																																								
11813_EXE_30_2025_S_PBC74148	3	309624	51.74	10.18	46	57	0.86	not_circular																																																																								
11813_EXE_30_2025_S_PBC74148	4	132592	39.55	12.97	30	48	0.66	not_circular																																																																								
11813_EXE_30_2025_S_PBC74148	5	61870	39.06	6.93	35	45	0.65	not_circular																																																																								
11813_EXE_30_2025_S_PBC74148	6	52210	42.55	7.24	36	49	0.7	not_circular																																																																								
11813_EXE_30_2025_S_PBC74148	7	34932	34.59	3.68	32	38	0.57	not_circular																																																																								
11813_EXE_30_2025_S_PBC74148	8	12126	23.18	4.48	19	26	0.38	not_circular																																																																								
11813_EXE_30_2025_S_PBC74148	10	239	55.8	0.52	56	56	0.92	not_circular																																																																								
11813_EXE_30_2025_S_PBC74148	11	131	55.79	0.49	56	56	0.92	not_circular																																																																								
