Sample	contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
11813_EXE_29_2025_K_PBC74148	chromosome	2803158	54.56	34.81	29	74	1.0	circular																																																																								
11813_EXE_29_2025_K_PBC74148	1	886854	33.16	26.44	17	41	0.61	not_circular																																																																								
11813_EXE_29_2025_K_PBC74148	2	752023	41.5	24.53	23	55	0.76	not_circular																																																																								
11813_EXE_29_2025_K_PBC74148	3	674368	30.64	20.98	16	40	0.56	not_circular																																																																								
11813_EXE_29_2025_K_PBC74148	4	193427	36.01	29.66	13	51	0.66	not_circular																																																																								
11813_EXE_29_2025_K_PBC74148	5	152596	43.68	26.53	22	56	0.8	not_circular																																																																								
11813_EXE_29_2025_K_PBC74148	6	131482	42.41	22.22	22	60	0.78	not_circular																																																																								
11813_EXE_29_2025_K_PBC74148	7	99147	75.04	55.33	28	119	1.38	circular																																																																								
11813_EXE_29_2025_K_PBC74148	8	88827	63.67	42.85	29	77	1.17	not_circular																																																																								
11813_EXE_29_2025_K_PBC74148	9	39480	29.67	16.07	17	46	0.54	not_circular																																																																								
11813_EXE_29_2025_K_PBC74148	11	16353	45.39	8.33	37	52	0.83	not_circular																																																																								
