Sample	contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
11813_EXE_12_2025_A_PBC74148	chromosome	3241114	59.27	22.21	42	77	1.0	circular																																																																								
11813_EXE_12_2025_A_PBC74148	1	1690777	46.01	17.04	32	57	0.78	not_circular																																																																								
11813_EXE_12_2025_A_PBC74148	2	95250	33.07	16.83	19	46	0.56	not_circular																																																																								
11813_EXE_12_2025_A_PBC74148	3	77232	57.54	15.12	45	73	0.97	not_circular																																																																								
11813_EXE_12_2025_A_PBC74148	4	17870	58.65	8.31	56	58	0.99	not_circular																																																																								
11813_EXE_12_2025_A_PBC74148	5	531	140.91	11.28	142	143	2.38	not_circular																																																																								
11813_EXE_12_2025_A_PBC74148	6	272	125.59	0.81	125	126	2.12	not_circular																																																																								
11813_EXE_12_2025_A_PBC74148	8	244	44.41	0.53	44	45	0.75	not_circular																																																																								
11813_EXE_12_2025_A_PBC74148	9	167	125.38	0.97	125	126	2.12	not_circular																																																																								
11813_EXE_12_2025_A_PBC74148	12	133	62.87	0.34	63	63	1.06	not_circular																																																																								
