Sample	contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
11813_EXE_13_2025_P_PBC74148	chromosome	3681781	51.29	27.31	30	71	1.0	circular																																																																								
11813_EXE_13_2025_P_PBC74148	1	1781865	36.34	19.34	22	49	0.71	not_circular																																																																								
11813_EXE_13_2025_P_PBC74148	2	281217	43.31	14.79	32	53	0.84	not_circular																																																																								
11813_EXE_13_2025_P_PBC74148	3	79096	33.1	8.98	26	42	0.65	not_circular																																																																								
11813_EXE_13_2025_P_PBC74148	4	79078	48.3	26.19	21	75	0.94	circular																																																																								
11813_EXE_13_2025_P_PBC74148	5	57772	44.68	7.05	39	50	0.87	not_circular																																																																								
11813_EXE_13_2025_P_PBC74148	6	34378	39.57	11.29	30	50	0.77	not_circular																																																																								
11813_EXE_13_2025_P_PBC74148	7	34316	33.86	3.97	31	36	0.66	not_circular																																																																								
11813_EXE_13_2025_P_PBC74148	8	13639	33.28	1.93	32	34	0.65	not_circular																																																																								
11813_EXE_13_2025_P_PBC74148	10	2952	40.94	2.36	39	43	0.8	not_circular																																																																								
