Sample	contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
11813_EXE_33_2024_C_PBC74148	chromosome	3389647	18.9	4.67	16	22	1.0	circular																																																																								
11813_EXE_33_2024_C_PBC74148	1	338277	17.45	3.87	15	20	0.92	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	2	309606	17.72	4.64	14	21	0.94	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	3	283871	18.5	3.84	16	21	0.98	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	4	217010	16.7	3.35	14	19	0.88	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	5	189243	19.12	4.38	16	22	1.01	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	6	158532	18.15	5.25	15	22	0.96	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	7	120559	20.86	2.91	19	23	1.1	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	8	117475	18.24	4.09	15	20	0.97	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	9	63594	21.09	5.79	16	25	1.12	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	10	4421	17.67	1.39	16	19	0.93	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	11	442	13.15	0.39	13	13	0.7	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	12	155	31.93	0.26	32	32	1.69	not_circular																																																																								
11813_EXE_33_2024_C_PBC74148	13	137	28.86	0.35	29	29	1.53	not_circular																																																																								
