Sample	contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
11813_EXE_13_2025_H_PBC74148	chromosome	3211347	68.69	35.66	41	92	1.0	circular																																																																								
11813_EXE_13_2025_H_PBC74148	1	808875	47.94	24.38	29	62	0.7	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	2	120595	45.99	19.81	36	48	0.67	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	3	73875	68.73	19.46	52	87	1.0	circular																																																																								
11813_EXE_13_2025_H_PBC74148	4	69892	43.08	14.49	31	54	0.63	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	5	53602	54.63	14.34	44	67	0.8	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	6	37167	29.72	11.15	20	40	0.43	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	7	4599	32.93	4.78	29	37	0.48	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	8	1989	45.81	2.95	43	49	0.67	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	9	1508	42.41	0.9	42	43	0.62	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	10	1210	26.6	6.77	18	33	0.39	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	13	357	32.85	0.38	33	33	0.48	not_circular																																																																								
11813_EXE_13_2025_H_PBC74148	17	158	32.96	0.24	33	33	0.48	not_circular																																																																								
