Sample	contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
11813_EXE_09_2024_B_PBC74148	chromosome	3358991	54.47	24.36	36	72	1.0	circular																																																																								
11813_EXE_09_2024_B_PBC74148	1	307719	44.46	23.1	26	62	0.82	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	2	275361	43.32	20.9	27	58	0.8	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	3	139920	47.93	20.18	36	57	0.88	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	4	138127	37.63	23.59	23	52	0.69	circular	Yes	NZ_CP071844.1	0.0230043	0.0	446/1000	2256174026.0	Vibrio sp. SCSIO 43009 plasmid unnamed, complete sequence	2022-06-19	circular	complete	2819103.0	plasmid	135905.0	CP071844.1	RefSeq	SAMN18309766	18309766.0	SAMN18309766	China: Hainan Island	18.24 N 109.36 E		Galaxea fascicularis	2017-08-01			12984841.0	GCF_023716525.1	Complete Genome	100.0	2022-06-14	2022-06-14	True	SAMN18309766	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_sp._SCSIO_43009		2819103.0	species	['Bacteria', 'Pseudomonadota', 'Gammaproteobacteria', 'Vibrionales', 'Vibrionaceae', 'Vibrio', 'Vibrio sp. SCSIO 43009', '']	Bacteria;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_sp._SCSIO_43009;	2.0	1224.0	1236.0	135623.0	641.0	662.0	2819103.0		True	True	True		0.0		0.442875538059674	135905.0	Galaxea fascicularis	BIOSAMPLE_Host	Galaxea fascicularis		18.24	109.36		-10.502206	-3.1880584		
11813_EXE_09_2024_B_PBC74148	5	130936	45.3	25.16	28	52	0.83	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	6	127602	56.29	28.44	33	68	1.03	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	7	101608	48.4	22.1	31	69	0.89	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	8	88049	58.97	19.25	42	73	1.08	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	9	79376	46.65	12.89	36	57	0.86	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	10	77636	40.42	13.91	32	48	0.74	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	11	77112	48.71	20.86	34	64	0.89	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	12	67881	39.57	15.69	28	52	0.73	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	13	46000	48.37	17.37	32	66	0.89	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	14	41253	28.12	10.22	20	36	0.52	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	15	33581	54.77	15.04	44	62	1.01	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	16	32163	62.32	15.64	51	76	1.14	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	17	26621	46.19	6.03	42	50	0.85	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	18	26036	58.93	9.71	50	67	1.08	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	19	25346	75.58	18.31	57	94	1.39	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	20	24150	46.66	17.12	31	64	0.86	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	21	20746	51.54	10.47	41	62	0.95	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	22	15704	63.93	4.13	61	67	1.17	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	23	14008	54.09	3.54	52	57	0.99	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	24	13252	51.27	10.52	40	58	0.94	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	25	13244	23.04	15.96	6	38	0.42	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	26	8536	104.75	5.94	105	108	1.92	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	27	7841	110.22	6.84	104	115	2.02	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	28	3882	73.46	4.12	71	76	1.35	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	29	3808	61.24	4.74	57	66	1.12	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	30	3449	48.24	0.92	48	49	0.89	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	31	3049	60.21	2.07	59	61	1.11	not_circular																																																																								
11813_EXE_09_2024_B_PBC74148	32	998	63.14	2.29	61	65	1.16	not_circular																																																																								
