Sample	contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
11813_EXE_21_2025_F_PBC74148	chromosome	3351838	56.33	16.63	45	68	1.0	circular																																																																								
11813_EXE_21_2025_F_PBC74148	1	573111	40.06	12.18	32	49	0.71	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	2	403563	44.14	16.03	30	57	0.78	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	3	140031	47.29	9.61	39	55	0.84	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	4	125367	39.55	12.1	26	49	0.7	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	5	120490	37.29	7.51	32	42	0.66	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	6	111885	45.96	8.83	40	52	0.82	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	7	97562	61.78	9.1	54	72	1.1	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	8	67548	43.49	6.13	40	46	0.77	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	9	65821	48.96	8.39	42	58	0.87	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	10	60078	78.95	25.45	68	87	1.4	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	11	55548	58.95	4.07	55	63	1.05	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	12	42478	46.45	6.67	41	51	0.82	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	13	23452	33.14	4.37	29	37	0.59	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	14	18589	57.63	1.72	57	59	1.02	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	15	13252	50.55	2.23	49	53	0.9	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	16	11858	41.14	2.13	40	43	0.73	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	17	11172	62.31	3.78	59	66	1.11	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	18	9145	50.86	0.97	50	52	0.9	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	19	7528	45.8	2.38	43	48	0.81	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	20	4430	28.73	0.96	28	30	0.51	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	21	4071	57.19	1.18	56	58	1.02	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	22	3808	51.3	1.95	49	53	0.91	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	23	2374	52.28	1.54	51	54	0.93	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	24	411	67.27	0.58	67	68	1.19	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	25	264	69.32	1.08	69	70	1.23	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	26	208	971.85	5.32	972	974	17.25	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	27	200	104.39	0.55	104	105	1.85	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	28	194	465.69	191.05	450	567	8.27	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	29	188	633.39	75.13	641	645	11.24	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	32	146	54.6	0.68	54	55	0.97	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	33	130	739.68	2.3	740	741	13.13	not_circular																																																																								
11813_EXE_21_2025_F_PBC74148	35	117	1024.42	144.99	1048	1051	18.19	not_circular																																																																								
