AssemblyAccession	AssemblyName	Organism	SpeciesTaxid	BioSampleAccn	ContigN50	Coverage	Strain	Pathovar	Owner	Link
GCF_000024825.1	ASM2482v1	Vibrio antiquarius (g-proteobacteria)	150340	SAMN02603570	3259580		EX25		NCBI	40507
GCF_000152485.1	ASM15248v1	Vibrio antiquarius (g-proteobacteria)	150340	SAMN02435854	54690		EX25		NCBI	15693
GCF_000165125.1	Vcar_1.0	Vibrio caribbeanicus ATCC BAA-2122 (g-proteobacteria)	701175	SAMN02952911	122512	20	ATCC BAA-2122		United States Food and Drug Administration, Center for Food Safety and Nutrition	49601
GCF_000176135.1	ASM17613v1	Vibrio coralliilyticus ATCC BAA-450 (g-proteobacteria)	190893	SAMN02393819	919232		ATCC BAA-450		Argonne National Laboratory	40491
GCF_000176155.1	ASM17615v1	Vibrio metschnikovii CIP 69.14 (g-proteobacteria)	28172	SAMN02393820	877075		CIP 69.14		Argonne National Laboratory	40493
GCF_000176175.1	ASM17617v1	Vibrio furnissii CIP 102972 (g-proteobacteria)	29494	SAMN02393822	1355700		CIP 102972		Argonne National Laboratory
EBI	40497
GCF_000176235.1	ASM17623v1	Vibrio orientalis CIP 102891 = ATCC 33934 (g-proteobacteria)	28175	SAMN02393817	2361996		CIP 102891		Argonne National Laboratory	40487
GCF_000181535.1	ASM18153v1	Vibrio mediterranei AK1 (g-proteobacteria)	689	SAMN02436099	95350		AK1		NCBI	19397
GCF_000189255.1	ASM18925v1	Vibrio brasiliensis LMG 20546 (g-proteobacteria)	170652	SAMN02952918	90830	14	LMG 20546		United States Food and Drug Administration, Center for Food Safety and Nutrition	61943
GCF_000222585.1	ASM22258v1	Vibrio scophthalmi LMG 19158 (g-proteobacteria)	45658	SAMN02951901	72536	20	LMG 19158		United States Food and Drug Administration, Center for Food Safety and Nutrition	51215
GCF_000222605.1	ASM22260v1	Vibrio ichthyoenteri ATCC 700023 (g-proteobacteria)	142461	SAMN02951902	45976	20	ATCC 700023		United States Food and Drug Administration, Center for Food Safety and Nutrition	51217
GCF_000222645.1	ASM22264v2	Vibrio orientalis CIP 102891 = ATCC 33934 (g-proteobacteria)	28175	SAMN02951904	125886	20	ATCC 33934		United States Food and Drug Administration, Center for Food Safety and Applied Nutrition	68623
GCF_000222665.1	ASM22266v1	Vibrio tubiashii ATCC 19109 (g-proteobacteria)	29498	SAMN02951905	51475	20	ATCC 19109		United States Food and Drug Administration, Center for Food Safety and Applied Nutrition	68625
GCF_000222685.1	ASM22268v1	Vibrio nigripulchritudo ATCC 27043 (g-proteobacteria)	28173	SAMN02951906	35691	20	ATCC 27043		United States Food and Drug Administration, Center for Food Safety and Applied Nutrition	68627
GCF_000257205.1	ASM25720v1	Vibrio ordalii ATCC 33509 (g-proteobacteria)	28174	SAMN02470772	29345	31	ATCC 33509		NCBI	63225
GCF_000299635.1	ASM29963v1	Vibrio vulnificus NBRC 15645 = ATCC 27562 (g-proteobacteria)	672	SAMN02469425	119940	100	ATCC 27562		NCBI	172642
GCF_000334195.1	Vc-CAIM519	Vibrio campbellii CAIM 519 = NBRC 15631 = ATCC 25920 (g-proteobacteria)	680	SAMN02469609	46294	15	CAIM 519		NCBI	173088
GCF_000338875.1	CAIM_602T_1.0	Vibrio mimicus CAIM 602 (g-proteobacteria)	674	SAMN02469605	159054	20	CAIM 602		NCBI	179483
GCF_000354175.2	ASM35417v2	Vibrio alginolyticus NBRC 15630 = ATCC 17749 (g-proteobacteria)	663	SAMN02603463	3334467	20	ATCC 17749		NCBI	184046
GCF_000400265.1	ASM40026v1	Vibrio azureus NBRC 104587 (g-proteobacteria)	512649	SAMD00036655	25467	81	NBRC 104587		DDBJ	202999
GCF_000400305.1	ASM40030v1	Vibrio harveyi NBRC 15634 = ATCC 14126 = KCTC 12724 (g-proteobacteria)	669	SAMD00036657	95039	88	NBRC 15634 = ATCC 14126		DDBJ	203003
GCF_000400325.1	ASM40032v1	Vibrio owensii LMG 25430 (g-proteobacteria)	696485	SAMD00036658	63024	80	LMG 25430		DDBJ	203002
GCF_000400345.1	ASM40034v1	Vibrio campbellii CAIM 519 = NBRC 15631 = ATCC 25920 (g-proteobacteria)	680	SAMD00036659	73528	99	CAIM 519 = NBRC 15631		DDBJ	203001
GCF_000400365.1	ASM40036v1	Vibrio jasicida CAIM 1864 = LMG 25398 (g-proteobacteria)	766224	SAMD00036660	109122	79	CAIM 1864 = LMG 25398		DDBJ	203004
GCF_000400385.1	ASM40038v1	Vibrio owensii CAIM 1854 = LMG 25443 (g-proteobacteria)	696485	SAMD00036661	89583	80	CAIM 1854 = LMG 25443		DDBJ	203005
GCF_000400405.1	ASM40040v1	Vibrio rotiferianus CAIM 577 = LMG 21460 (g-proteobacteria)	190895	SAMD00036662	52095	65	CAIM 577 = LMG 21460		DDBJ	203006
GCF_000400425.1	ASM40042v1	Vibrio sagamiensis NBRC 104589 (g-proteobacteria)	512650	SAMD00036663	50295	84	NBRC 104589		DDBJ	203007
GCF_000417905.1	ASM41790v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 (g-proteobacteria)	691	SAMN02472057	192071	779	ATCC 14048		NCBI	207547
GCF_000426765.1	ASM42676v1	Vibrio litoralis DSM 17657 (g-proteobacteria)	335972	SAMN02440646	344268		DSM 17657		NCBI	195825
GCF_000438785.2	ASM43878v2	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 (g-proteobacteria)	691	SAMN02471760	62844	300	DSM 759		NCBI	208003
GCF_000467125.1	ASM46712v1	Vibrio proteolyticus NBRC 13287 (g-proteobacteria)	671	SAMD00041816	227034	101	NBRC 13287		National Institute of Technology and Evaluation Biological Resource Center	http://www.nite.go.jp/en/nbrc/genome/project/wgs/project_wgs2.html 172313
GCF_000467145.1	ASM46714v1	Vibrio alginolyticus NBRC 15630 = ATCC 17749 (g-proteobacteria)	663	SAMD00041824	221121	93	NBRC 15630		National Institute of Technology and Evaluation Biological Resource Center	http://www.nite.go.jp/en/nbrc/genome/project/wgs/project_wgs2.html 172324
GCF_000467165.1	ASM46716v1	Vibrio azureus NBRC 104587 (g-proteobacteria)	512649	SAMD00041797	60692	101	NBRC 104587		National Institute of Technology and Evaluation Biological Resource Center	http://www.nite.go.jp/en/nbrc/genome/project/wgs/project_wgs2.html 172325
GCF_000467185.1	ASM46718v1	Vibrio ezurae NBRC 102218 (g-proteobacteria)	252583	SAMD00041795	112764	131	NBRC 102218		National Institute of Technology and Evaluation Biological Resource Center	http://www.nite.go.jp/en/nbrc/genome/project/wgs/project_wgs2.html 172328
GCF_000496695.1	ASM49669v1	Vibrio halioticoli NBRC 102217 (g-proteobacteria)	71388	SAMD00041794	61825	109	NBRC 102217		National Institute of Technology and Evaluation Biological Resource Center	http://www.nite.go.jp/en/nbrc/genome/project/wgs/project_wgs2.html 172320
GCF_000518145.1	ASM51814v1	Vibrio cholerae ATCC 14547 (g-proteobacteria)	666	SAMN02585008	124945		ATCC 14547		NCBI	223123
