Genome	Length(bp)
11671_EXE_19_2024_C_unicycler	4986414
11671_EXE_22_2024_B_unicycler	6165687
11671_EXE_23_2024_1_unicycler	5204226
11671_EXE_25_2024_H_unicycler	4986392
11671_EXE_26_2024_C_unicycler	5173766
11671_EXE_45_2024_E_unicycler	4129836
11671_Guernsey_unicycler	5354178
11813_EXE22_2025_IVF5LA_PBC74148_final	6142252
11813_EXE_01_2024_7_PBC74148_final	5297337
11813_EXE_05_2024_A_PBC74148_final	4134499
11813_EXE_06_2024_E_PBC74148_final	5218439
11813_EXE_09_2024_B_PBC74148_final	5333978
11813_EXE_12_2025_A_PBC74148_final	5123589
11813_EXE_13_2025_H_PBC74148_final	4385174
11813_EXE_13_2025_P_PBC74148_final	6045781
11813_EXE_19_2024_M_PBC74148_final	5144380
11813_EXE_20_2024_J_PBC74148_final	5202567
11813_EXE_21_2025_F_PBC74148_final	5326858
11813_EXE_22_2025_DG1LF_PBC7_final	5807831
11813_EXE_22_2025_DG3A_PBC74148_barcode18_final	6035389
11813_EXE_22_2025_T1A_PBC74148_final	5285069
11813_EXE_26_2025_A_PBC74148_final	5967503
11813_EXE_26_2025_C_PBC74148_final	5247844
11813_EXE_27_2025_A_PBC74148_final	6204871
11813_EXE_27_2025_D_PBC74148_final	5194567
11813_EXE_28_2025_A_PBC74148_final	5252430
11813_EXE_28_2025_W_PBC74148_final	4234954
11813_EXE_29_2025_HH_PBC74148_final	5108874
11813_EXE_29_2025_K_PBC74148_final	5837471
11813_EXE_29_2025_V_PBC74148_final	5260959
11813_EXE_30_2024_F_PBC74148_final	5330846
11813_EXE_30_2024_G_PBC74148_final	6140041
11813_EXE_30_2025_L_PBC74148_final	5217583
11813_EXE_30_2025_S_PBC74148_final	4979636
11813_EXE_32_2024_G_PBC74148_final	4968120
11813_EXE_33_2024_C_PBC74148_final	5192967
11813_EXE_33_2024_F_PBC74148_final	5003445
11813_EXE_34_2024_C_PBC74148_final	5192869
11813_EXE_34_2024_P_PBC74148_final	4878188
11813_EX_23_2024_K_PBC74148_final	5334063
EXE07_2023A1_unicycler	5155579
EXE07_2023A4_unicycler	5230063
EXE08_2023B5_unicycler	5394997
EXE09_2023D7_unicycler	5067634
EXE10_2023G3_unicycler	5062487
EXE_01_2025_M_final	3956415
EXE_03_2025_A_final	6094541
EXE_08_2024_A_final	5148281
EXE_13_2025_A_final	6099648
EXE_15_2024_J_unicycler	4897751
EXE_20_2025_B_final	5336330
EXE_23_2025_L_final	4301131
EXE_30_2025_R_final	4981339
EXE_32_2024_G_final	5193039
EXE_33_2024_E_final	5019674
Vibrio_aestuarianus_LMG_7909	4149197
Vibrio_agarilyticus_SM6	4352422
Vibrio_agarivorans_CECT_5085	4907847
Vibrio_albus_E4404	4265296
Vibrio_alfacsensis_CAIM_1831	4910231
Vibrio_alginolyticus_ATCC_17749	5146637
Vibrio_algivorus_SA2	3648612
Vibrio_amylolyticus_ZSDE26	4861024
Vibrio_anguillarum_NCTC12159	4416484
Vibrio_antiquarius_EX25	5089025
Vibrio_aphrogenes_CA_1004	3375144
Vibrio_apostichopi_FE10	5999096
Vibrio_aquaticus_BEI207	4451605
Vibrio_aquimaris_THAF100	4501013
Vibrio_artabrorum_CECT_7226	4443332
Vibrio_atlanticus_CECT_7223	5107681
Vibrio_atypicus_DSM_25292	4835723
Vibrio_azureus_LC2_005	4833901
Vibrio_barjaei_3062	5535129
Vibrio_bathopelagicus_Sal10	5668207
Vibrio_bivalvicida_605	4922047
Vibrio_brasiliensis_LMG_20546	4715026
Vibrio_breoganii_CECT_7222	4148362
Vibrio_campbellii_CAIM_519	5116899
Vibrio_caribbeanicus_ATCC_BAA_2122	4410536
Vibrio_casei_DSM_22364	4140771
Vibrio_celticus_CECT_7224	5636967
Vibrio_chaetopteri_CB1_14	5543559
Vibrio_chagasii_LMG_21353	5569803
Vibrio_chanodichtyis_DSL_7	3070936
Vibrio_chemaguriensis_Iso1	5006289
Vibrio_cholerae_FDAARGOS_103	4036048
Vibrio_cincinnatiensis_NCTC12012	3800816
Vibrio_cionasavignyae_JAMM2507	5533278
Vibrio_clamense_JAMM0920	4410606
Vibrio_comitans_LMG_23416	4517303
Vibrio_coralliilyticus_DSM_19607	5719173
Vibrio_coralliirubri_DSM_27495	5742785
Vibrio_cortegadensis_CECT_7227	4668569
Vibrio_crassostreae_LMG_22240	5804381
Vibrio_cyclitrophicus_LMG_21359	5277499
Vibrio_diabolicus_CNCM_I_1629	5132517
Vibrio_diazotrophicus_ATCC_33466	4820957
Vibrio_echinoideorum_DSM_107264	5738118
Vibrio_europaeus_PP_638	5469456
Vibrio_ezurae_HDS1_1	3713626
Vibrio_floridensis_IRLE0018	4535135
Vibrio_fluminensis_A621	4854211
Vibrio_fluvialis_ATCC_33809	4827733
Vibrio_fortis_LMG_21557	5281637
Vibrio_furnissii_FDAARGOS_777	4993326
Vibrio_galatheae_S2757	4065199
Vibrio_gallaecicus_CECT_7244	5126655
Vibrio_gallicus_CIP_107863	3518157
Vibrio_gangliei_DSM_104291	3667293
Vibrio_gazogenes_ATCC_29988	4712453
Vibrio_gelatinilyticus_ZSDZ34	4299233
Vibrio_gigantis_LMG_22741	5826067
Vibrio_glycogenivorans_WXL210	5523167
Vibrio_halioticoli_IAM_14596	4092510
Vibrio_hangzhouensis_CGMCC_1_7062	5123217
Vibrio_harveyi_NCTC12970	5674887
Vibrio_hepatarius_DSM_19134	4822708
Vibrio_hibernica_B1_19	3425268
Vibrio_hippocampi_CECT_8226	4592494
Vibrio_hyugaensis_090810a	5612082
Vibrio_injensis_M12_1144	3670882
Vibrio_intestinalis_YLB_11	4340292
Vibrio_inusitatus_LMG_23434	4414459
Vibrio_iocasae_HN007	5834927
Vibrio_ishigakensis_JCM_19231	4785997
Vibrio_japonicus_JCM_31412	4235444
Vibrio_jasicida_CAIM_1864	6052299
Vibrio_kagoshimensis_JAMM0761	4987259
Vibrio_kanaloae_LMG_20539	4652496
Vibrio_kasasachensis_JAMM1812	4597476
Vibrio_kyushuensis_JAMM1822	5381169
Vibrio_lamellibrachiae_JAMM2626	5341820
Vibrio_lentus_40M4T	5819982
