Sample	Complete	Total_assembly_length	Number_of_contigs	Most_accurate_polishing_round	Longest_contig_length	Longest_contig_coverage	Number_circular_plasmids
11813_EXE_34_2024_P_PBC74148	True	4878188	13	medaka_rd_2	3267373	53	0
11813_EXE_27_2025_A_PBC74148	True	6204871	6	medaka_rd_1	3828699	41	1
11813_EXE_13_2025_H_PBC74148	True	4385174	13	medaka_rd_2	3211347	67	1
11813_EXE_13_2025_P_PBC74148	True	6045781	10	medaka_rd_2	3681468	48	1
11813_EXE_12_2025_A_PBC74148	True	5123589	10	medaka_rd_1	3241113	61	0
11813_EXE_30_2025_L_PBC74148	True	5217583	21	medaka_rd_2	3368879	55	0
11813_EXE_09_2024_B_PBC74148	True	5333978	33	medaka_rd_2	3358984	56	1
11813_EXE_22_2025_T1A_PBC74148	True	5285069	3	medaka_rd_2	3353936	55	2
11813_EXE_28_2025_A_PBC74148	True	5252430	14	medaka_rd_2	3098159	45	7
11813_EXE_01_2024_7_PBC74148	True	5297337	27	medaka_rd_2	3319419	57	1
11813_EXE_30_2024_F_PBC74148	True	5330846	20	medaka_rd_2	3352933	56	1
11813_EXE_27_2025_D_PBC74148	True	5194567	6	medaka_rd_2	3368927	60	0
11813_EXE_21_2025_F_PBC74148	True	5326858	33	medaka_rd_2	3351839	58	0
11813_EXE_28_2025_W_PBC74148	True	4234954	2	medaka_rd_2	3023614	68	1
11813_EXE_29_2025_K_PBC74148	True	5837471	11	medaka_rd_2	2802914	45	1
11813_EXE_19_2024_M_PBC74148	True	5144380	71	medaka_rd_1	3316628	54	0
11813_EXE_20_2024_J_PBC74148	True	5202567	2	medaka_rd_2	3334477	56	1
11813_EXE_34_2024_C_PBC74148	True	5192869	7	medaka_rd_2	3375299	19	0
11813_EXE_26_2025_C_PBC74148	True	5247844	39	medaka_rd_2	3587961	50	1
11813_EXE_33_2024_C_PBC74148	True	5192967	14	medaka_rd_2	3389645	19	0
11813_EXE_30_2025_S_PBC74148	True	4979636	11	medaka_rd_2	3201228	62	0
11813_EXE_29_2025_V_PBC74148	True	5260959	3	medaka_rd_2	3313267	50	1
11813_EXE_33_2024_F_PBC74148	True	5003445	9	medaka_rd_2	3267359	61	0
11813_EXE_06_2024_E_PBC74148	True	5218439	2	pre_polish	3352516	56	1
11813_EXE_30_2025_R_PBC74148	False	2778219	771	medaka	24353	28	Unknown
11813_EXE_23_2025_L_PBC74148	False	4297206	14	medaka	1284051	16	Unknown
11813_EXE_32_2024_G_PBC74148	False	4968120	7	medaka	2031908	53	Unknown
11813_EXE_05_2024_A_PBC74148	False	4134499	6	medaka	2577235	22	Unknown
11813_EXE_30_2024_G_PBC74148	False	6140041	5	medaka	2366177	39	Unknown
11813_EXE_24_2025_E_PBC74148	False	124333	3	medaka	76680	3	Unknown
11813_EXE_13_2025_A_PBC74148	False	123143	8	medaka	26581	3	Unknown
11813_EXE_26_2025_A_PBC74148	False	5967503	7	medaka	2281644	17	Unknown
11813_EX_23_2024_K_PBC74148	False	5334063	3	medaka	2304084	53	Unknown
11813_EXE_03_2025_A_PBC74148	False	1629067	519	medaka	11939	25	Unknown
11813_EXE_01_2025_M_PBC74148	False	2361202	44	medaka	156953	4	Unknown
11813_EXE_22_2025_DG1LF_PBC7	False	5807831	338	medaka	231332	35	Unknown
11813_EXE_33_2024_E_PBC74148	False	3240755	867	medaka	22398	47	Unknown
11813_EXE_25_2025_25N_PBC74148	False	31294	2	medaka	25801	3	Unknown
11813_EXE_29_2025_HH_PBC74148	False	5108874	5	medaka	2239838	60	Unknown
11813_EXE_22_2025_DG3A_PBC74148_barcode18	False	6035389	112	medaka	520797	47	Unknown
11813_EXE_20_2025_B_PBC74148	False	5171571	16	medaka	880929	6	Unknown
11813_EXE22_2025_IVF5LA_PBC74148	False	6142252	21	medaka	1147293	58	Unknown
