#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_21	1284067	16	N	N	1	*	*,21,*
contig_17	994528	17	N	N	1	*	*,17
contig_3	985554	16	N	N	1	*	*,3,*
contig_9	382778	15	N	N	1	*	-12,9,*
contig_2	174356	16	N	N	1	*	18,-4,2,*
contig_20	127521	18	N	N	1	*	20,-6,-18,-1,4
contig_13	96680	15	N	N	1	*	*,13,*
contig_19	92941	18	N	N	1	*	1,18,-4,19
contig_5	58959	18	N	N	1	*	5,-6,-18,-1
contig_22	41830	130	Y	Y	9	*	22
contig_16	41493	12	N	N	1	*	*,16,*
contig_14	12766	15	N	N	1	*	*,14,*
contig_15	3195	14	N	N	1	*	*,15,*
contig_8	609	5	N	Y	1	2	*,8,*
