#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_21	520797	47	N	N	1	*	34,21,*
contig_4	252194	45	N	N	1	*	*,4,*
contig_35	249546	42	N	N	1	*	-2,35,54,60
contig_6	232136	46	N	N	1	*	*,6,*
contig_38	224057	45	N	N	1	*	*,38,*
contig_79	211917	56	N	N	1	*	-34,-113,79,*
contig_1	188867	41	N	N	1	*	*,1,*
contig_3	183566	49	N	N	1	*	*,3,113,113,113
contig_13	176334	34	N	N	1	*	*,13,*
contig_59	152628	35	N	N	1	*	*,59,*
contig_40	152479	32	N	N	1	*	*,40,*
contig_17	147218	47	N	N	1	*	*,17
contig_80	144362	29	N	N	1	*	*,73,80,*
contig_122	142218	28	N	N	1	*	122,*
contig_46	134733	49	N	N	1	*	*,46,*
contig_10	121222	31	N	N	1	*	-2,10,*
contig_7	121067	59	N	N	2	*	-16,-2,7,-34
contig_99	117270	37	N	N	1	*	*,99,*
contig_126	110913	28	N	N	1	*	*,126,*
contig_33	105721	53	N	N	1	*	33,113
contig_117	100326	32	N	N	1	*	*,117,*
contig_118	87959	31	N	N	1	*	*,118
contig_55	87723	28	Y	N	1	*	55
contig_8	82002	34	N	N	1	*	-2,8,*
contig_128	79241	27	N	N	1	*	*,128,*
contig_67	77415	22	N	N	1	*	*,67
contig_18	74738	43	N	N	1	*	18,*
contig_108	73517	29	N	N	1	*	*,73,108,*
contig_20	71794	40	N	N	1	*	20,*
contig_37	70446	58	N	N	1	*	-113,-113,37,45
contig_47	70182	37	N	N	1	*	*,47,*
contig_129	65595	34	N	N	1	*	*,129,*
contig_14	62859	28	N	N	1	*	*,14,*
contig_81	61784	30	N	N	1	*	*,81,*
contig_124	59366	29	N	N	1	*	124,*
contig_85	54402	27	N	N	1	*	*,85,*
contig_91	46602	26	N	N	1	*	*,91,*
contig_112	45766	26	N	N	1	*	*,112,*
contig_111	43458	22	N	N	1	*	*,111,*
contig_123	41511	19	N	N	1	*	123,*
contig_73	40880	14	N	Y	1	*	*,73
contig_12	39971	26	N	N	1	*	-2,12,*
contig_90	38920	26	N	N	1	*	*,90,*
contig_93	37552	24	N	N	1	*	*,93,*
contig_5	35858	32	N	N	1	*	-45,5,2
contig_83	34800	50	N	N	1	*	*,83,*
contig_24	32127	41	N	N	1	*	24,*
contig_121	31471	34	N	N	1	*	-60,-54,121,54,60
contig_125	29494	21	N	N	1	*	*,125,*
contig_82	25317	29	N	N	1	*	*,82,*
contig_98	23543	23	N	N	1	*	*,98,*
contig_94	22586	30	N	N	1	*	*,94,*
contig_34	22583	61	N	Y	1	*	34
contig_110	22518	21	N	N	1	*	*,110,*
contig_100	21217	16	N	N	1	*	*,100,*
contig_114	20714	13	N	N	1	*	*,114
contig_32	19793	16	N	N	1	*	*,32,*
contig_119	19134	42	N	N	1	*	*,119,*
contig_56	17874	25	N	N	1	*	*,56,*
contig_101	17704	44	N	N	1	*	*,101,*
contig_9	17259	27	N	N	1	*	*,9,*
contig_23	17077	35	N	N	1	*	*,23,*
contig_74	17056	27	N	N	1	*	*,74,*
contig_127	15934	32	N	N	1	*	*,127,*
contig_61	15214	26	N	N	1	*	*,61,*
contig_57	15033	28	N	N	1	*	*,57,*
contig_102	14754	20	N	N	1	*	*,102,*
contig_103	14709	24	N	N	1	*	*,103,*
contig_95	14573	14	N	N	1	*	*,95,*
contig_97	14475	31	N	N	1	*	*,97,*
contig_105	13879	16	N	N	1	*	*,105,*
contig_109	13854	76	N	Y	2	*	109,*
contig_62	13820	40	N	N	1	*	*,62,*
contig_45	13444	26	N	Y	1	*	45
contig_19	12035	16	N	N	1	*	*,19,*
contig_96	10870	35	N	N	1	*	*,96,*
contig_28	10340	24	N	N	1	*	*,28,*
contig_78	10298	7	N	N	1	*	*,78,*
contig_25	9805	15	N	N	1	*	*,25,*
contig_115	9771	18	N	N	1	*	*,115,*
contig_48	9670	44	N	N	1	*	*,48,*
contig_11	9422	51	N	N	1	*	*,11,*
contig_44	9356	12	N	N	1	*	*,44,*
contig_31	8672	12	N	N	1	*	*,31,*
contig_22	8417	21	N	N	1	*	*,22,*
contig_92	7850	24	N	N	1	*	*,92,*
contig_116	7518	25	N	N	1	*	*,116,*
contig_51	7389	38	N	Y	1	6	*,51,*
contig_77	6906	23	N	N	1	*	*,77,*
contig_63	6693	9	N	N	1	*	*,63,*
contig_29	6063	12	N	N	1	*	*,29,*
contig_104	5730	10	N	N	1	*	*,104,*
contig_43	5431	13	N	N	1	*	*,43,*
contig_49	5321	12	N	N	1	*	*,49,*
contig_64	5162	19	N	N	1	*	*,64,*
contig_36	5045	42	N	N	1	*	*,36,*
contig_107	4449	22	N	N	1	*	*,107,*
contig_87	4407	21	N	Y	1	16	*,87,*
contig_30	4357	17	N	N	1	*	*,30,*
contig_39	4048	15	N	N	1	*	*,39,*
contig_71	3971	15	N	N	1	*	*,71,*
contig_84	3518	21	N	N	1	*	*,84,*
contig_106	3152	18	N	N	1	*	*,106,*
contig_50	3085	16	N	N	1	*	*,50,*
contig_72	2813	13	N	N	1	*	*,72,*
contig_26	2768	25	N	Y	1	2	*,26,*
contig_89	2684	33	N	Y	1	18	*,89,*
contig_70	2281	16	N	N	1	*	*,70,*
contig_58	1692	18	N	N	1	*	*,58,*
contig_76	1471	11	N	Y	1	14	*,76,*
contig_41	1278	24	N	Y	1	4	*,41,*
contig_15	664	10	N	N	1	*	*,15,*
