#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_5	157131	4	N	N	1	*	*,5,*
contig_16	128522	4	N	N	1	*	*,16,*
contig_17	124011	3	N	N	1	*	*,17,*
contig_8	123913	4	N	N	1	*	-7,8,*
contig_44	103981	4	N	N	1	*	*,44,*
contig_6	95365	3	N	N	1	*	*,6,*
contig_29	94966	4	N	Y	1	*	*,29,*
contig_31	80785	3	N	N	1	*	*,31,*
contig_43	79357	4	N	N	1	*	*,43,*
contig_20	77652	4	N	Y	1	*	*,20,*
contig_18	75110	3	N	N	1	*	*,18,*
contig_42	75099	3	N	N	1	*	*,42,*
contig_19	73835	4	N	N	1	*	*,19,*
contig_41	72426	3	N	N	1	*	*,41,*
contig_9	65557	4	N	Y	1	*	*,9,*
contig_1	65128	3	N	N	1	*	*,1,*
contig_28	63060	3	N	N	1	*	*,28,*
contig_10	59405	3	N	N	1	*	*,10,*
contig_26	54706	3	N	N	1	*	*,26,*
contig_14	53554	3	N	N	1	*	*,14,*
contig_32	47595	4	N	Y	1	*	*,32,*
contig_3	43539	5	N	Y	1	*	*,3,*
contig_15	43046	4	N	N	1	*	*,15,*
contig_13	40495	3	N	N	1	*	*,13,*
contig_11	38418	3	N	N	1	*	*,11,*
contig_24	34878	4	N	N	1	*	*,24,*
contig_27	33473	3	N	N	1	*	*,27,*
contig_30	33260	3	N	N	1	*	*,30,*
contig_23	33084	3	N	N	1	*	*,23,*
contig_34	31940	5	N	Y	1	*	*,34,*
contig_21	31349	4	N	N	1	*	*,21,*
contig_36	30990	3	N	N	1	*	*,36,*
contig_2	29595	4	N	Y	1	*	*,2,*
contig_45	26996	3	N	N	1	*	*,45,*
contig_4	24664	3	N	N	1	*	*,4,*
contig_33	22668	4	N	Y	1	*	*,33,*
contig_25	17254	3	N	N	1	*	*,25,*
contig_35	16059	4	N	N	1	*	*,35,*
contig_40	13760	3	N	N	1	*	*,40,*
contig_39	12406	5	N	Y	1	*	*,39,*
contig_22	11034	4	N	N	1	*	*,22,*
contig_37	8446	3	N	N	1	*	*,37,*
contig_38	8184	3	N	N	1	*	*,38,*
contig_12	7621	4	N	N	1	*	*,12,*
