contig_name	contig_type	length	gc	circular
chromosome00001	chromosome	3316628	44.91	False
plasmid00001	plasmid	790578	44.35	False
plasmid00002	plasmid	204491	45.23	False
plasmid00003	plasmid	135739	44.86	False
plasmid00004	plasmid	132243	45.0	False
plasmid00005	plasmid	40355	45.57	False
plasmid00006	plasmid	39787	44.27	False
plasmid00007	plasmid	36361	44.58	False
plasmid00008	plasmid	35321	45.12	False
plasmid00009	plasmid	32384	45.31	False
plasmid00010	plasmid	30989	45.0	False
plasmid00011	plasmid	28532	44.58	False
plasmid00012	plasmid	25107	42.81	False
plasmid00013	plasmid	23778	44.78	False
plasmid00014	plasmid	21342	44.58	False
plasmid00015	plasmid	16270	44.75	False
plasmid00016	plasmid	14596	44.01	False
plasmid00017	plasmid	13758	45.12	False
plasmid00018	plasmid	12703	44.34	False
plasmid00019	plasmid	12297	46.49	False
plasmid00020	plasmid	11912	45.44	False
plasmid00021	plasmid	10968	45.37	False
plasmid00022	plasmid	9433	45.17	False
plasmid00023	plasmid	8953	46.97	False
plasmid00024	plasmid	8665	50.76	False
plasmid00025	plasmid	8640	42.95	False
plasmid00026	plasmid	7180	46.55	False
plasmid00027	plasmid	6826	47.26	False
plasmid00028	plasmid	6542	43.06	False
plasmid00029	plasmid	6528	46.65	False
plasmid00030	plasmid	5729	49.0	False
plasmid00031	plasmid	5602	45.89	False
plasmid00032	plasmid	5410	46.17	False
plasmid00033	plasmid	5096	44.9	False
plasmid00034	plasmid	4661	46.26	False
plasmid00035	plasmid	4654	49.72	False
plasmid00036	plasmid	4567	47.73	False
plasmid00037	plasmid	4370	49.08	False
plasmid00038	plasmid	4196	47.71	False
plasmid00039	plasmid	3590	43.93	False
plasmid00040	plasmid	3570	45.57	False
plasmid00041	plasmid	3490	47.99	False
plasmid00042	plasmid	3238	48.58	False
plasmid00043	plasmid	3054	42.76	False
plasmid00044	plasmid	2931	47.77	False
plasmid00045	plasmid	2816	48.69	False
plasmid00046	plasmid	2481	49.25	False
plasmid00047	plasmid	2353	44.54	False
plasmid00048	plasmid	2347	46.91	False
plasmid00049	plasmid	2294	50.35	False
plasmid00050	plasmid	2124	50.89	False
plasmid00051	plasmid	2022	45.35	False
plasmid00052	plasmid	1967	50.28	False
plasmid00053	plasmid	1765	48.39	False
plasmid00054	plasmid	1624	44.7	False
plasmid00055	plasmid	1207	44.49	False
plasmid00056	plasmid	1130	47.96	False
plasmid00057	plasmid	1122	50.89	False
plasmid00058	plasmid	900	49.56	False
plasmid00059	plasmid	874	46.34	False
plasmid00060	plasmid	861	42.28	False
plasmid00061	plasmid	769	46.16	False
plasmid00062	plasmid	758	53.83	False
plasmid00063	plasmid	392	47.96	False
plasmid00064	plasmid	321	36.14	False
plasmid00065	plasmid	253	54.15	False
plasmid00066	plasmid	213	55.87	False
plasmid00067	plasmid	213	56.81	False
plasmid00068	plasmid	196	46.94	False
plasmid00069	plasmid	166	48.19	False
plasmid00070	plasmid	148	49.32	False
