[2025-10-20 21:00:03] INFO: CheckM v1.2.4
[2025-10-20 21:00:03] INFO: checkm qa --out_format 3 checkm_out/Vibrio.ms checkm_out
[2025-10-20 21:00:03] INFO: CheckM data: /data/djs217/miniconda3/envs/checkm_env/checkm_data
[2025-10-20 21:00:03] INFO: [CheckM - qa] Tabulating genome statistics.
[2025-10-20 21:00:03] INFO: Calculating AAI between multi-copy marker genes.
[2025-10-20 21:00:03] INFO: Reading HMM info from file.
[2025-10-20 21:00:04] INFO: Parsing HMM hits to marker genes:
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                                            Node Id      Marker lineage     # genomes   # markers   # marker sets    0      1     2    3   4   5+   Completeness   Contamination   Strain heterogeneity  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  11813_EXE22_2025_IVF5LA_PBC74148_final               5             Vibrio             70         1084          381         1     1074   8    1   0   0       99.74            0.78               0.00          
  11813_EXE22_2025_IVF5LA_PBC74148_final               4          Vibrionaceae          80         922           367         1     914    6    1   0   0       99.73            0.42               0.00          
  11813_EXE22_2025_IVF5LA_PBC74148_final               3          Vibrionales           80         922           367         1     914    6    1   0   0       99.73            0.42               0.00          
  11813_EXE22_2025_IVF5LA_PBC74148_final               2      Gammaproteobacteria      1167        280           178         0     276    4    0   0   0       100.00           0.84               0.00          
  11813_EXE22_2025_IVF5LA_PBC74148_final               1         Proteobacteria        2343        182           119         0     181    1    0   0   0       100.00           0.84               0.00          
  11813_EXE22_2025_IVF5LA_PBC74148_final               0            Bacteria           5449        104            58         0     104    0    0   0   0       100.00           0.00               0.00          
  11813_EXE_01_2024_7_PBC74148_final                   5             Vibrio             70         1084          381         0     1079   5    0   0   0       100.00           0.18               0.00          
  11813_EXE_01_2024_7_PBC74148_final                   4          Vibrionaceae          80         922           367         0     919    3    0   0   0       100.00           0.13               0.00          
  11813_EXE_01_2024_7_PBC74148_final                   3          Vibrionales           80         922           367         0     919    3    0   0   0       100.00           0.13               0.00          
  11813_EXE_01_2024_7_PBC74148_final                   2      Gammaproteobacteria      1167        280           178         0     280    0    0   0   0       100.00           0.00               0.00          
  11813_EXE_01_2024_7_PBC74148_final                   1         Proteobacteria        2343        182           119         0     182    0    0   0   0       100.00           0.00               0.00          
  11813_EXE_01_2024_7_PBC74148_final                   0            Bacteria           5449        104            58         0     104    0    0   0   0       100.00           0.00               0.00          
  11813_EXE_01_2025_M_PBC74148_final                   5             Vibrio             70         1084          381        492    583    9    0   0   0       49.44            0.90               0.00          
  11813_EXE_01_2025_M_PBC74148_final                   4          Vibrionaceae          80         922           367        410    505    7    0   0   0       52.04            0.67               0.00          
  11813_EXE_01_2025_M_PBC74148_final                   3          Vibrionales           80         922           367        410    505    7    0   0   0       52.04            0.67               0.00          
