[2025-10-20 21:00:46] INFO: CheckM v1.2.4
[2025-10-20 21:00:46] INFO: checkm qa --out_format 7 checkm_out/Vibrio.ms checkm_out
[2025-10-20 21:00:46] INFO: CheckM data: /data/djs217/miniconda3/envs/checkm_env/checkm_data
[2025-10-20 21:00:46] INFO: [CheckM - qa] Tabulating genome statistics.
[2025-10-20 21:00:46] INFO: Calculating AAI between multi-copy marker genes.
[2025-10-20 21:00:46] INFO: Reading HMM info from file.
[2025-10-20 21:00:47] INFO: Parsing HMM hits to marker genes:
Bin Id	Marker Id	Gene Ids
11813_EXE_01_2024_7_PBC74148_final	PF13174.1	chromosome00001_1008,chromosome00001_1324
11813_EXE_01_2024_7_PBC74148_final	PF01170.13	chromosome00001_1481,chromosome00001_2500
11813_EXE_01_2025_M_PBC74148_final	TIGR01224	contig00024_27,contig00024_29
11813_EXE_05_2024_A_PBC74148_final	PF13242.1	contig00005_1278,contig00005_708
11813_EXE_05_2024_A_PBC74148_final	PF13174.1	contig00005_1609,contig00005_1923
11813_EXE_06_2024_E_PBC74148_final	PF04463.7	chromosome00001_1425,chromosome00001_1477
11813_EXE_09_2024_B_PBC74148_final	PF13174.1	chromosome00001_2090,chromosome00001_2406
11813_EXE_09_2024_B_PBC74148_final	PF01170.13	chromosome00001_2563,chromosome00001_580
11813_EXE_12_2025_A_PBC74148_final	PF03476.11	plasmid00001_1373,plasmid00001_927
11813_EXE_12_2025_A_PBC74148_final	PF04315.7	chromosome00001_835,chromosome00001_844
11813_EXE_13_2025_H_PBC74148_final	TIGR00556	chromosome00001_106,chromosome00001_2384
11813_EXE_13_2025_H_PBC74148_final	PF04310.7	chromosome00001_1192,chromosome00001_2803
11813_EXE_13_2025_H_PBC74148_final	PF10979.3	chromosome00001_1656,chromosome00001_1768,chromosome00001_972
11813_EXE_13_2025_H_PBC74148_final	PF04288.8	chromosome00001_1191,chromosome00001_2802
11813_EXE_19_2024_M_PBC74148_final	TIGR01072	chromosome00001_2369,chromosome00001_8
11813_EXE_19_2024_M_PBC74148_final	PF04101.11	chromosome00001_12,chromosome00001_221
11813_EXE_19_2024_M_PBC74148_final	PF02873.11	chromosome00001_2613,chromosome00001_9
11813_EXE_20_2024_J_PBC74148_final	TIGR01933	chromosome00001_1311,chromosome00001_205
11813_EXE_20_2024_J_PBC74148_final	TIGR01932	chromosome00001_1312,chromosome00001_206
11813_EXE_20_2024_J_PBC74148_final	PF12221.3	chromosome00001_1311,chromosome00001_205
11813_EXE_21_2025_F_PBC74148_final	PF13174.1	chromosome00001_1050,chromosome00001_1366
11813_EXE_21_2025_F_PBC74148_final	PF01170.13	chromosome00001_1523,chromosome00001_2542
11813_EXE_22_2025_T1A_PBC74148_final	TIGR01933	chromosome00001_1226,chromosome00001_206
11813_EXE_22_2025_T1A_PBC74148_final	TIGR01932	chromosome00001_1227,chromosome00001_207
11813_EXE_22_2025_T1A_PBC74148_final	PF01078.16	chromosome00001_2924,chromosome00001_2939
11813_EXE_22_2025_T1A_PBC74148_final	PF12221.3	chromosome00001_1226,chromosome00001_206
11813_EXE_23_2025_L_PBC74148_final	TIGR02195	contig00010_136,contig00010_140
11813_EXE_26_2025_C_PBC74148_final	TIGR00227	chromosome00001_1355,chromosome00001_875
11813_EXE_26_2025_C_PBC74148_final	TIGR01139	chromosome00001_2125,chromosome00001_956
11813_EXE_26_2025_C_PBC74148_final	PF09334.6	chromosome00001_1187,chromosome00001_2208,chromosome00001_944
11813_EXE_26_2025_C_PBC74148_final	PF08334.6	chromosome00001_129,chromosome00001_2135
11813_EXE_26_2025_C_PBC74148_final	PF01078.16	chromosome00001_178,chromosome00001_199
11813_EXE_26_2025_C_PBC74148_final	PF00490.16	chromosome00001_2106,chromosome00001_288
11813_EXE_27_2025_A_PBC74148_final	PF13174.1	chromosome00001_1073,chromosome00001_780
11813_EXE_27_2025_A_PBC74148_final	PF05552.7	chromosome00001_1510,chromosome00001_454
11813_EXE_28_2025_A_PBC74148_final	PF02629.14	chromosome00001_1999,chromosome00001_678
11813_EXE_28_2025_W_PBC74148_final	PF03476.11	plasmid00001_186,plasmid00001_27
11813_EXE_28_2025_W_PBC74148_final	PF10458.4	chromosome00001_1808,chromosome00001_2302
11813_EXE_28_2025_W_PBC74148_final	PF08502.5	chromosome00001_2037,chromosome00001_2241
11813_EXE_29_2025_HH_PBC74148_final	PF04101.11	contig00004_1123,contig00004_927
11813_EXE_29_2025_K_PBC74148_final	PF02325.12	chromosome00001_1536,chromosome00001_1540
11813_EXE_29_2025_V_PBC74148_final	TIGR02034	chromosome00001_180,chromosome00001_285
11813_EXE_29_2025_V_PBC74148_final	PF01583.15	chromosome00001_181,chromosome00001_287
11813_EXE_30_2024_F_PBC74148_final	PF13174.1	chromosome00001_1050,chromosome00001_1367
11813_EXE_30_2024_F_PBC74148_final	PF01170.13	chromosome00001_1524,chromosome00001_2544
11813_EXE_30_2025_L_PBC74148_final	TIGR01072	chromosome00001_2749,chromosome00001_375
11813_EXE_30_2025_L_PBC74148_final	TIGR01933	chromosome00001_220,chromosome00001_681
11813_EXE_30_2025_L_PBC74148_final	TIGR01932	chromosome00001_221,chromosome00001_680
11813_EXE_30_2025_L_PBC74148_final	PF12221.3	chromosome00001_220,chromosome00001_681
11813_EXE_30_2025_L_PBC74148_final	PF02873.11	chromosome00001_117,chromosome00001_2748
11813_EXE_30_2025_S_PBC74148_final	PF13241.1	chromosome00001_1403,chromosome00001_2762
11813_EXE_30_2025_S_PBC74148_final	PF03023.9	chromosome00001_2303,chromosome00001_2566
11813_EXE_32_2024_G_PBC74148_final	PF13241.1	contig00007_1605,contig00007_195
11813_EXE_33_2024_F_PBC74148_final	PF13241.1	chromosome00001_1476,chromosome00001_2870
11813_EXE_34_2024_C_PBC74148_final	TIGR01933	chromosome00001_2706,chromosome00001_2819
11813_EXE_34_2024_C_PBC74148_final	TIGR01932	chromosome00001_2705,chromosome00001_2818
11813_EXE_34_2024_C_PBC74148_final	PF12221.3	chromosome00001_2706,chromosome00001_2819
11813_EXE_34_2024_P_PBC74148_final	PF13241.1	chromosome00001_1478,chromosome00001_2875
11813_EX_23_2024_K_PBC74148_final	PF03476.11	contig00001_416,contig00001_469
11813_EX_23_2024_K_PBC74148_final	PF04101.11	contig00002_16,contig00002_204
[2025-10-20 21:00:56] INFO: { Current stage: 0:00:10.292 || Total: 0:00:10.292 }
