Sample	contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
EXE_23_2025_L	chromosome	2934587	41.95	6.87	37	46	1.0	circular																																																																								
EXE_23_2025_L	1	1324714	39.44	6.74	35	44	0.94	circular																																																																								
EXE_23_2025_L	2	41830	141.04	7.16	136	147	3.36	circular																																																																								
EXE_32_2024_G	chromosome	3389646	34.71	6.45	30	39	1.0	circular																																																																								
EXE_32_2024_G	1	936232	34.82	6.04	31	39	1.0	not_circular																																																																								
EXE_32_2024_G	2	406254	33.11	6.76	29	38	0.95	not_circular																																																																								
EXE_32_2024_G	3	388532	32.28	6.37	27	37	0.93	not_circular																																																																								
EXE_32_2024_G	4	67220	31.62	4.98	28	36	0.91	not_circular																																																																								
EXE_32_2024_G	5	4421	31.78	3.83	29	34	0.92	not_circular																																																																								
EXE_32_2024_G	6	442	20.93	0.27	21	21	0.6	not_circular																																																																								
EXE_32_2024_G	7	155	66.3	0.93	66	67	1.91	not_circular																																																																								
EXE_32_2024_G	8	137	41.88	0.95	41	43	1.21	not_circular																																																																								
EXE_20_2025_B	chromosome	3351842	43.27	7.5	38	48	1.0	circular																																																																								
EXE_20_2025_B	1	856326	42.32	7.14	37	47	0.98	not_circular																																																																								
EXE_20_2025_B	2	307597	41.38	6.93	37	46	0.96	not_circular																																																																								
EXE_20_2025_B	3	199162	45.18	6.86	41	49	1.04	not_circular																																																																								
EXE_20_2025_B	4	170706	39.66	6.37	35	44	0.92	not_circular																																																																								
EXE_20_2025_B	5	138121	34.16	5.79	30	38	0.79	circular																																																																								
EXE_20_2025_B	6	133675	39.97	8.07	35	44	0.92	not_circular																																																																								
EXE_20_2025_B	7	127601	42.04	7.01	37	46	0.97	not_circular																																																																								
EXE_20_2025_B	8	30228	48.02	5.42	44	52	1.11	not_circular																																																																								
EXE_20_2025_B	9	11172	38.31	7.5	36	44	0.89	not_circular																																																																								
EXE_20_2025_B	10	4430	47.31	4.27	45	50	1.09	not_circular																																																																								
EXE_20_2025_B	11	2753	47.93	3.75	45	51	1.11	not_circular																																																																								
EXE_20_2025_B	12	2374	28.39	2.49	26	30	0.66	not_circular																																																																								
EXE_20_2025_B	13	200	55.13	1.55	54	57	1.27	not_circular																																																																								
EXE_20_2025_B	14	146	86.77	1.14	86	88	2.01	not_circular																																																																								
EXE_30_2025_R	chromosome	3201230	34.16	7.37	29	39	1.0	circular																																																																								
EXE_30_2025_R	1	1780110	29.42	5.91	25	33	0.86	circular																																																																								
EXE_08_2024_A	chromosome	3315926	55.64	10.38	49	62	1.0	circular																																																																								
EXE_08_2024_A	1	876679	46.15	8.5	40	51	0.83	not_circular																																																																								
EXE_08_2024_A	2	247124	51.32	10.13	44	59	0.92	not_circular																																																																								
EXE_08_2024_A	3	220505	51.83	6.79	47	56	0.93	not_circular																																																																								
EXE_08_2024_A	4	141827	50.91	6.55	46	56	0.91	not_circular																																																																								
EXE_08_2024_A	5	137589	53.67	8.45	48	59	0.96	not_circular																																																																								
EXE_08_2024_A	6	119286	47.14	5.89	43	50	0.85	not_circular																																																																								
EXE_08_2024_A	7	48582	57.95	7.97	52	64	1.04	not_circular																																																																								
EXE_08_2024_A	8	23682	57.03	9.82	49	65	1.02	not_circular																																																																								
EXE_08_2024_A	9	15858	62.98	7.55	58	69	1.13	not_circular																																																																								
