contig_name	length	gc
contig00001	24624	44.55
contig00002	95214	43.79
contig00003	30954	42.92
contig00004	65549	44.35
contig00005	16003	41.75
contig00006	74986	44.52
contig00007	17249	43.56
contig00008	73688	41.21
contig00009	8159	42.9
contig00010	59292	44.39
contig00011	12403	45.01
contig00012	156953	42.32
contig00013	123817	45.27
contig00014	54664	44.36
contig00015	128413	43.63
contig00016	40460	43.77
contig00017	65088	44.6
contig00018	13746	44.76
contig00019	7610	43.77
contig00020	74962	44.76
contig00021	11020	45.22
contig00022	72335	44.06
contig00023	33060	43.75
contig00024	26969	45.31
contig00025	79212	44.46
contig00026	77620	43.95
contig00027	34869	45.15
contig00028	94918	43.63
contig00029	53468	44.39
contig00030	43520	44.63
contig00031	31928	42.51
contig00032	33196	41.98
contig00033	43030	43.89
contig00034	8392	42.34
contig00035	103919	42.16
contig00036	63003	42.42
contig00037	47067	44.27
contig00038	33450	44.03
contig00039	29576	43.25
contig00040	31296	44.8
contig00041	80694	43.35
contig00042	38386	43.86
contig00043	22645	41.77
contig00044	123795	43.15
