contig_name	length	gc
contig00001	8671	42.39
contig00002	252194	45.55
contig00003	4449	43.13
contig00004	176336	44.64
contig00005	7850	43.32
contig00006	2678	47.31
contig00007	20714	41.8
contig00008	79238	44.83
contig00009	54394	44.32
contig00010	87957	45.33
contig00011	5162	41.69
contig00012	41509	43.79
contig00013	4048	42.0
contig00014	10870	45.36
contig00015	15934	43.82
contig00016	37550	44.17
contig00017	17056	45.29
contig00018	1692	43.74
contig00019	147218	45.84
contig00020	46614	44.71
contig00021	12035	43.99
contig00022	183564	46.32
contig00023	13871	42.72
contig00024	31471	44.36
contig00025	77409	43.04
contig00026	62858	44.16
contig00027	4356	39.85
contig00028	3521	42.49
contig00029	121221	44.84
contig00030	3152	41.94
contig00031	9422	43.96
contig00032	23543	43.96
contig00033	15033	44.99
contig00034	5045	44.7
contig00035	19134	45.4
contig00036	82001	44.89
contig00037	71792	46.13
contig00038	100326	44.72
contig00039	22576	46.0
contig00040	2281	41.56
contig00041	87669	42.28
contig00042	14475	43.39
contig00043	61772	44.55
contig00044	15214	44.01
contig00045	38961	43.62
contig00046	211924	45.24
contig00047	5431	43.79
contig00048	188860	45.91
contig00049	224056	45.55
contig00050	10300	41.27
contig00051	134728	44.98
contig00052	6906	44.6
contig00053	9356	42.11
contig00054	520797	45.93
contig00055	29481	43.37
contig00056	152628	45.74
contig00057	110912	44.08
contig00058	4407	40.53
contig00059	249546	45.26
contig00060	17259	44.43
contig00061	142216	44.5
contig00062	25316	44.6
contig00063	21214	42.49
contig00064	14572	43.66
contig00065	3085	39.38
contig00066	144360	44.71
contig00067	10338	45.08
contig00068	40873	43.81
contig00069	105720	45.92
contig00070	7518	43.8
contig00071	5321	44.24
contig00072	22518	43.49
contig00073	3969	44.29
contig00074	2813	38.22
contig00075	39971	44.56
contig00076	17861	44.49
contig00077	7389	44.76
contig00078	17077	44.76
contig00079	14754	44.86
contig00080	13854	46.59
contig00081	59366	44.74
contig00082	117268	45.36
contig00083	35858	44.76
contig00084	8489	41.49
contig00085	9805	41.05
contig00086	73516	44.91
contig00087	19792	41.33
contig00088	152475	45.05
contig00089	13820	45.14
contig00090	5731	42.0
contig00091	74738	46.03
contig00092	6063	40.54
contig00093	9670	45.7
contig00094	14704	43.06
contig00095	34800	46.83
contig00096	43458	43.86
contig00097	9765	43.09
contig00098	120963	46.41
contig00099	17704	45.56
contig00100	22584	42.23
contig00101	45766	45.06
contig00102	32127	45.57
contig00103	70183	46.17
contig00104	232126	45.99
contig00105	65590	45.02
contig00106	6791	40.66
contig00107	13444	45.17
contig00108	70446	46.17
contig00109	664	49.7
contig00110	2768	47.11
contig00111	1471	41.54
contig00112	1278	46.17
