contig_name	length	gc
contig00001	32471	41.3
contig00002	151026	44.93
contig00003	140215	44.94
contig00004	396702	45.5
contig00005	91777	42.33
contig00006	30388	43.7
contig00007	911591	45.62
contig00008	313196	43.35
contig00009	521726	45.9
contig00010	286111	44.48
contig00011	155620	45.07
contig00012	157024	44.66
contig00013	1147293	45.32
contig00014	167745	45.23
contig00015	183276	44.29
contig00016	70061	44.86
contig00017	200894	45.23
contig00018	410648	45.0
contig00019	132775	43.8
contig00020	350602	44.01
contig00021	291111	44.9
