contig_name	contig_type	length	gc	circular
chromosome00001	chromosome	3319419	44.61	True
plasmid00001	plasmid	982515	44.09	False
plasmid00002	plasmid	146814	44.81	False
plasmid00003	plasmid	132737	46.23	False
plasmid00004	plasmid	131437	44.13	True
plasmid00005	plasmid	91593	45.26	False
plasmid00006	plasmid	79997	46.16	False
plasmid00007	plasmid	75705	44.87	False
plasmid00008	plasmid	62842	45.34	False
plasmid00009	plasmid	49658	44.66	False
plasmid00010	plasmid	40226	45.75	False
plasmid00011	plasmid	34995	41.22	False
plasmid00012	plasmid	33592	44.26	False
plasmid00013	plasmid	18468	44.36	False
plasmid00014	plasmid	17167	45.64	False
plasmid00015	plasmid	13252	45.64	False
plasmid00016	plasmid	12061	44.97	False
plasmid00017	plasmid	10014	44.56	False
plasmid00018	plasmid	9145	41.78	False
plasmid00019	plasmid	8536	48.63	False
plasmid00020	plasmid	7841	49.75	False
plasmid00021	plasmid	7532	45.02	False
plasmid00022	plasmid	6718	42.8	False
plasmid00023	plasmid	3808	44.01	False
plasmid00024	plasmid	998	43.89	False
plasmid00025	plasmid	148	43.24	False
plasmid00026	plasmid	119	42.02	False
