contig_name	contig_type	length	gc	circular
chromosome00001	chromosome	3351839	44.62	True
plasmid00001	plasmid	573111	44.53	False
plasmid00002	plasmid	403563	44.17	False
plasmid00003	plasmid	140031	46.21	False
plasmid00004	plasmid	125367	44.79	False
plasmid00005	plasmid	120490	43.92	False
plasmid00006	plasmid	111885	43.54	False
plasmid00007	plasmid	97562	46.06	False
plasmid00008	plasmid	67548	42.08	False
plasmid00009	plasmid	65821	44.37	False
plasmid00010	plasmid	60078	45.41	False
plasmid00011	plasmid	55548	45.27	False
plasmid00012	plasmid	42478	44.03	False
plasmid00013	plasmid	23452	43.27	False
plasmid00014	plasmid	18589	46.58	False
plasmid00015	plasmid	13252	45.64	False
plasmid00016	plasmid	11858	43.92	False
plasmid00017	plasmid	11172	46.85	False
plasmid00018	plasmid	9145	41.78	False
plasmid00019	plasmid	7528	45.01	False
plasmid00020	plasmid	4430	42.66	False
plasmid00021	plasmid	4071	42.67	False
plasmid00022	plasmid	3808	44.01	False
plasmid00023	plasmid	2374	48.48	False
plasmid00024	plasmid	411	45.99	False
plasmid00025	plasmid	264	50.38	False
plasmid00026	plasmid	208	61.06	False
plasmid00027	plasmid	200	51.0	False
plasmid00028	plasmid	194	54.64	False
plasmid00029	plasmid	188	61.17	False
plasmid00030	plasmid	146	52.74	False
plasmid00031	plasmid	130	56.92	False
plasmid00032	plasmid	117	58.12	False
