contig_name	contig_type	length	gc	circular
chromosome00001	chromosome	3267373	45.39	True
plasmid00001	plasmid	443928	44.9	False
plasmid00002	plasmid	386974	45.86	False
plasmid00003	plasmid	214292	46.89	False
plasmid00004	plasmid	154499	44.64	False
plasmid00005	plasmid	116706	45.4	False
plasmid00006	plasmid	105576	46.02	False
plasmid00007	plasmid	56218	45.75	False
plasmid00008	plasmid	55559	45.53	False
plasmid00009	plasmid	44604	46.13	False
plasmid00010	plasmid	27547	48.99	False
plasmid00011	plasmid	4646	44.86	False
plasmid00012	plasmid	266	37.59	False
