contig_name	contig_type	length	gc	circular
chromosome00001	chromosome	3368879	44.67	True
plasmid00001	plasmid	635152	44.45	False
plasmid00002	plasmid	396740	44.19	False
plasmid00003	plasmid	234940	44.51	False
plasmid00004	plasmid	156841	45.1	False
plasmid00005	plasmid	66839	45.96	False
plasmid00006	plasmid	66783	39.56	False
plasmid00007	plasmid	56868	45.68	False
plasmid00008	plasmid	35227	45.2	False
plasmid00009	plasmid	33493	45.52	False
plasmid00010	plasmid	31405	43.33	False
plasmid00011	plasmid	29496	44.1	False
plasmid00012	plasmid	28081	44.44	False
plasmid00013	plasmid	23346	47.75	False
plasmid00014	plasmid	22222	44.68	False
plasmid00015	plasmid	16374	49.21	False
plasmid00016	plasmid	7469	48.0	False
plasmid00017	plasmid	3997	49.96	False
plasmid00018	plasmid	1366	44.07	False
plasmid00019	plasmid	1349	47.59	False
plasmid00020	plasmid	716	49.02	False
