contig_name	contig_type	length	gc	circular
chromosome00001	chromosome	3352933	44.62	True
plasmid00001	plasmid	1100289	44.1	False
plasmid00002	plasmid	131437	44.13	True
plasmid00003	plasmid	101588	45.2	False
plasmid00004	plasmid	101569	44.84	False
plasmid00005	plasmid	100897	44.73	False
plasmid00006	plasmid	97562	46.06	False
plasmid00007	plasmid	90062	44.98	False
plasmid00008	plasmid	79373	46.15	False
plasmid00009	plasmid	36635	44.95	False
plasmid00010	plasmid	30033	44.19	False
plasmid00011	plasmid	26697	44.26	False
plasmid00012	plasmid	24478	45.03	False
plasmid00013	plasmid	18205	49.24	False
plasmid00014	plasmid	13252	45.64	False
plasmid00015	plasmid	12417	47.01	False
plasmid00016	plasmid	12050	44.98	False
plasmid00017	plasmid	1102	48.46	False
plasmid00018	plasmid	148	43.24	False
plasmid00019	plasmid	119	42.02	False
