contig_name	contig_type	length	gc	circular
chromosome00001	chromosome	3358984	44.62	False
plasmid00001	plasmid	307719	43.99	False
plasmid00002	plasmid	275361	43.98	False
plasmid00003	plasmid	139920	44.68	False
plasmid00004	plasmid	138127	44.83	True
plasmid00005	plasmid	130936	44.76	False
plasmid00006	plasmid	127602	46.13	False
plasmid00007	plasmid	101608	45.2	False
plasmid00008	plasmid	88049	46.28	False
plasmid00009	plasmid	79376	44.68	False
plasmid00010	plasmid	77636	44.3	False
plasmid00011	plasmid	77112	45.14	False
plasmid00012	plasmid	67881	43.18	False
plasmid00013	plasmid	46000	44.97	False
plasmid00014	plasmid	41253	44.0	False
plasmid00015	plasmid	33581	44.25	False
plasmid00016	plasmid	32163	45.34	False
plasmid00017	plasmid	26621	43.67	False
plasmid00018	plasmid	26036	44.2	False
plasmid00019	plasmid	25346	45.8	False
plasmid00020	plasmid	24150	44.55	False
plasmid00021	plasmid	20746	44.21	False
plasmid00022	plasmid	15704	45.16	False
plasmid00023	plasmid	14008	43.08	False
plasmid00024	plasmid	13252	45.64	False
plasmid00025	plasmid	13244	42.43	False
plasmid00026	plasmid	8536	48.63	False
plasmid00027	plasmid	7841	49.75	False
plasmid00028	plasmid	3882	42.53	False
plasmid00029	plasmid	3808	44.01	False
plasmid00030	plasmid	3449	50.22	False
plasmid00031	plasmid	3049	43.88	False
plasmid00032	plasmid	998	43.89	False
