contig	length	mean_depth_long	sd_depth_long	q25_depth_long	q75_depth_long	plasmid_copy_number_long	circularity	PLSDB_hit	NUCCORE_ACC	mash_distance	mash_pval	mash_matching_hashes	NUCCORE_UID	NUCCORE_Description	NUCCORE_CreateDate	NUCCORE_Topology	NUCCORE_Completeness	NUCCORE_TaxonID	NUCCORE_Genome	NUCCORE_Length	NUCCORE_DuplicatedEntry	NUCCORE_Source	NUCCORE_BiosampleID	BIOSAMPLE_UID	BIOSAMPLE_ACC	BIOSAMPLE_Location	BIOSAMPLE_Coordinates	BIOSAMPLE_IsolationSource	BIOSAMPLE_Host	BIOSAMPLE_CollectionDate	BIOSAMPLE_HostDisease	BIOSAMPLE_SampleType	ASSEMBLY_UID	ASSEMBLY_ACC	ASSEMBLY_Status	ASSEMBLY_coverage	ASSEMBLY_SeqReleaseDate	ASSEMBLY_SubmissionDate	ASSEMBLY_Lastest	ASSEMBLY_BiosampleID	TAXONOMY_superkingdom	TAXONOMY_phylum	TAXONOMY_class	TAXONOMY_order	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_UID	TAXONOMY_taxon_rank	TAXONOMY_taxon_name	TAXONOMY_taxon_lineage	TAXONOMY_superkingdom_id	TAXONOMY_phylum_id	TAXONOMY_class_id	TAXONOMY_order_id	TAXONOMY_family_id	TAXONOMY_genus_id	TAXONOMY_species_id	TAXONOMY_strain_id	has_biosample	has_assembly	has_location	rMLST_hits	rMLST_hitscount	inclusions	NUCCORE_GC	Length	BIOSAMPLE_Host_processed	BIOSAMPLE_Host_processed_source	BIOSAMPLE_Host_label	BIOSAMPLE_HostDisease_processed	loc_lat	loc_lng	loc_parsed	D1	D2	plasmidfinder	pmlst
chromosome	3351842	43.27	7.5	38	48	1.0	circular																																																																								
1	856326	42.32	7.14	37	47	0.98	not_circular																																																																								
2	307597	41.38	6.93	37	46	0.96	not_circular																																																																								
3	199162	45.18	6.86	41	49	1.04	not_circular																																																																								
4	170706	39.66	6.37	35	44	0.92	not_circular																																																																								
5	138121	34.16	5.79	30	38	0.79	circular																																																																								
6	133675	39.97	8.07	35	44	0.92	not_circular																																																																								
7	127601	42.04	7.01	37	46	0.97	not_circular																																																																								
8	30228	48.02	5.42	44	52	1.11	not_circular																																																																								
9	11172	38.31	7.5	36	44	0.89	not_circular																																																																								
10	4430	47.31	4.27	45	50	1.09	not_circular																																																																								
11	2753	47.93	3.75	45	51	1.11	not_circular																																																																								
12	2374	28.39	2.49	26	30	0.66	not_circular																																																																								
13	200	55.13	1.55	54	57	1.27	not_circular																																																																								
14	146	86.77	1.14	86	88	2.01	not_circular																																																																								
