contig_name	contig_type	length	gc	circular
chromosome00001	chromosome	3315925	44.91	True
plasmid00001	plasmid	876679	44.37	False
plasmid00002	plasmid	247124	45.18	False
plasmid00003	plasmid	220505	45.28	False
plasmid00004	plasmid	141827	45.63	False
plasmid00005	plasmid	137589	45.91	False
plasmid00006	plasmid	119286	44.98	False
plasmid00007	plasmid	48582	43.2	False
plasmid00008	plasmid	23682	45.89	False
plasmid00009	plasmid	15858	45.57	False
plasmid00010	plasmid	758	53.83	False
plasmid00011	plasmid	253	54.15	False
plasmid00012	plasmid	213	56.81	False
